,names,descriptions,titles,research
39,"Dryer, Frederick  L. ","Educational Foundation Distinguished Research Professor, Mechanical Engineering ",Faculty,"['300 Main Street , Rm A 122University of South CarolinaColumbia , SC 29208Dr . Dryer has over 45 years of applications driven fundamental research experience in thermal sciences heat transfer , fluid dynamics , physical chemistry , and chemical kinetics relevant to space and air breathing propulsion , fossil and renewable energy conversion related to ground transportation and stationary power generation , combustion related pollutant mitigation , and fire safety . Dr . Dryer s current research interests include chemistry chemical kinetics of fuels and hazardous waste materials as related to ignition , combustion , and emissions generation abatement petroleum derived fuels , including gasoline , diesel , gas turbine , and heavy fuel oil combustion properties non petroleum derived alternative fuels , their production , their chemical kinetic properties , and their ability to address U . S . energy security and reduction in net carbon cycle emissions as well as other pollutant concerns fire safety related issues on earth and in micro gravity environments solid phase gas phase interactions as related to particle burning phenomena and nano catalyst materials emissions from internal combustion engines , including hydrocarbons , nitrogen oxides , aerosol particulates emissions interactions including chlorine , sulfur and ash metals component effects in stationary energy conversion , chemical processing , and incineration .']"
40,"Eastman, Caroline M. ","Professor, Computer Science & Engineering",Staff,"['Professor Eastman s research interests focus on effective and efficient algorithms for information retrieval . When you want information , how easily and quickly can you find it ? Is it useful and correct when you do find it ? Her work in this area has addressed a broad spectrum of problems , from efficient file organizations to search interfaces and user interactions . She has also been working with colleagues on problems in database security . She is PI and co director with Professor Bowles for an NSF Research Experiences for Undergraduates site .']"
50,"Gadala-Maria, Francis","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Swearingen Engineering CenterRoom 2C07301 Main StreetColumbia , SC 29208Ph . D . , Stanford University , 1979M . S . , Stanford University , 1974']"
55,"Gibbons, Joseph H.","Distinguished Professor Emeritus, Chemical Engineering",Staff,"['Ph . D . , University of Pittsburgh , 1961M . S . , University of Pittsburgh , 1958B . S . , University of South Carolina , 1956']"
56,"Ginn, Herbert L.",Professor,Faculty,"['SwearingenRoom 3A30 301 Main Street Columbia , SC 29208University of South CarolinaMississippi State University']"
57,"Giurgiutiu (Jurjutzu), Victor","Professor, Mechanical Engineering",Faculty,"['Dr . Giurgiutiu s research interests span active materials , smart structures , structural health monitoring , mechatronics , and other multi physics applied mechanics topics . Dr . Giurgiutiu has published several books and book chapters and many journal articles and conference papers . He is Fellow of the Royal Aeronautical Society RAeS and of the American Society of Mechanical Engineers ASME . He is Associate Editor of the Aeronautical Journal of RAeS .']"
59,"Goharian, Erfan",Assistant Professor,Faculty,"['Integrated Water Resources Management, System Analysis, Hydroinformatics']"
62,"Gross, Andrew J.",Assistant Professor,Faculty,"['Dr . Gross research interests center on the mechanical properties of materials . This includes the design , fabrication , and characterization of architected materials , especially those with nanoscale constituents as well as the use of full field experimental data for the calibration of material models .']"
70,"Hoque, Shamia",Associate Professor,Faculty,"['Metamodel, Healthy buildings, Sustainable technology, Transportation and Environment']"
71,"Hu, Jianjun","Associate Professor, Graduate Recruiting Coordinator, Computer Science & Engineering",Faculty,"['Deep learning, machine learning, materials informatics, bioinformatics, evolutionary computation']"
86,"Karakalos, Stavros G.",Research Assistant Professor,Faculty,"['Understanding the reaction mechanism of various heterogeneous catalytic processes is of fundamental importance for our group . The main goal of a catalyst is to increase the rate of a reaction . This is achieved by creating new energetic pathways for the reaction , through the interaction of the catalyst and the reactants . The interaction can lead to new intermediates and lower activation energies . To this end , the study of model systems is important in order to draw safe conclusions . Important information derived from the study of model catalysts is that a surface can undergo structural and electronic changes during the reaction . The use of efficient techniques under Ultra High Vacuum and the in situ study of catalysts is more than a necessity . In our group we use X Ray and Synchrotron Radiation Photoelectron Spectroscopy XPS , SRPES , NAP XPS , X Ray induced Auger Electron Spectroscopy XAES , Ultra Violet Photoelectron Spectroscopy UPS , Temperature Programmed Desorption TPD , TPRS , Secondary Ion Mass Spectroscopy SIMS and in situ Catalytic treatments , to determine the structure , composition and electronic properties of the outermost atomic layers of solid materials .']"
87,"Karakchi, Rasha",Instructor,Faculty,"['Heterogeneous Computing, FPGA overlay, Data Analytics, Special-Purpose processors']"
91,"Knight, Travis W.","Interim Chair and Professor, Mechanical Engineering",Faculty,"['Dr . Knight s research and interests are in the areas of Advanced nuclear fuels and materials , Nuclear safeguards , Nuclear fuel cycle , Alternative uses of nuclear power including hydrogen , space nuclear power and propulsion .']"
97,"Li, Chen ","Professor, Mechanical Engineering",Faculty,"['Dr . Li s research interest are micro nano scale two phase heat and flow physics , prediction , control and modeling . Aim at basic research in developing and verifying theories for two phase transport behaviors and the application of these theories towards controlling two phase heat and flows at micro nano scale .']"
107,"Matthews, Michael A.",Associate Vice President for Research | Senior Associate Dean for Research and Graduate Programs,Faculty,"['Professor Mike Matthews obtained his Ph . D . in 1986 from Texas A M University . He joined the University of South Carolina in 1994 . He teaches and conducts research in the broad field of thermodynamics , with projects related to hydrogen storage in chemical hydrides , biomedical engineering , and green chemistry . He has raised over 10M in research funding and has published approximately 70 journal papers . He has served as department chair , associate dean , and chair of the Industrial and Engineering Chemistry Division of the American Chemical Society ACS . Currently he serves on the Committee on Environmental Improvement of ACS . He is a Fellow both of the American Chemical Society and the American Institute of Chemical Engineers . Two major research thrusts are underway in his group . The first deals with applications of supercritical carbon dioxide for biomedical applications . Funding from the National Institute of Biomedical Imaging and Bioengineering has focused on development of novel technology for sterilization and disinfection of synthetic and natural biomaterials . Funding from the National Institute of Environmental Health Sciences is aimed at abatement of indoor allergenic proteins and other respiratory hazards . Dr . Matthews founded CarboNix LLC with the aid of three SBIR grants from the NIEHS . The second thrust is in utilization of chemical hydrides as a hydrogen storage medium , with application in PEM fuel cells . Funding from NSF and DOE has led to expanded understanding of the role of deliquescence in the reaction between water vapor and sodium borohydride . In addition , improved understanding of the hydration states of the reaction products is important in decreasing the total water utilization in this reaction .']"
108,"McAnally, A. Steve",Associate Professor,Faculty,"['Dr . McAnally s research interests focus on water and wastewater treatment , particularly appropriate technology applications for developing communities . Recent research projects include optimization studies for potable water production using low cost portable water treatment units . Other research areas include water treatment for heavy metals removal and corrosion control , industrial waste minimization , constructed wetland applications for industrial and municipal wastewater treatment and education reform in civil and environmental engineering .']"
114,"Morehouse, Jeff ",Associate Professor Emeritus,Faculty,"['Dr . Morehouse and his students have investigated a broad range of thermodynamic heat engine applications , ranging from space based fuel cell power systems to ground coupled heat pumps to phase change storage systems . Dr . Morehouse has long been associated with solar energy system design and analysis and is currently involved in a conventional HVAC control project and with evaporative system applications in humid climates .']"
129,"Potts, Jay","Associate Professor, School of Medicine, Biomedical Engineering",Faculty,"['School of Medicine Bldg 1 Room C 50 6439 Garners Ferry Road Columbia , SC 29209The prevalence of congenital cardiac malformations places an extreme sociological and personal burden . There are a myriad of congenital cardiac defects but the majority involve a region known as the atrioventricular canal AV . The AV canal is responsible for the production of the AV valves and membranous portion of the interventricular septum . This is accomplished through a process known as epithelial mesenchymal cell transformation . Understanding how the early heart and in particular the AV canal is formed is critical to building the foundation for future therapeutic measures . Norris , RA , Potts , JD , Yost , MJ , Junor , L , Brooks , T , Tan , H , Hoffman , S , Hart , MM , Damon , B , Markwald , RR , Goodwin , RL . 2009 . Periostin promotes a fibroblastic lineage pathway in atrioventricular valve progenitor cells . Dev . Dyn . 238 1052 1063 .']"
139,"Rizos, Dimitris","Director, Railway Engineering Graduate Certificate",Faculty,"['His areas of interest are in Structural Mechanics with emphasis on Railway and Highway Infrastructure , High Speed Rail Systems , and Civilian and Military Bridges . Dr . Rizos expertise is in the area of structural mechanics and modeling with emphasis on i Development and implementation of computational methods BEM , FEM , DEM , Hybrid Methods for problems in wave propagation , soil structure interaction , structural dynamics , and transient analysis of multi phase media , such as the train rail trackbed soil interaction problems ii Analysis and Design of freight , passenger and High Speed Railway infrastructure bridges , tunnels , tracks , etc iii Bridge Engineering and High Performance Materials for civilian and military applications .']"
143,"Rose, John R. ",Professor,Faculty,"['I am currently a member of IEEE . I am the author of over 50 technical papers in bioinformatics , machine intelligence , and computational science . My research interests are in the areas of bioinformatics , normative reasoning and planning , DAI and multiagent systems , and computational chemistry . I have conducted research funded by NSF , NIH , NASA , DOD ONR , Alexander von Humboldt Foundation , BMFT German NSF equivalent , as well as the South Carolina Commission on Higher Education . I have been a NASA Institute for Advanced Concepts NIAC Fellow . I was formerly the Director of the SC INBRE Bioinformatics Core . A major new focus of my research group is de novo peptide sequencing . We have recently received NSF funding to support this effort .']"
150,"Shazly, Tarek ","Graduate Director, Biomedical Engineering",Faculty,"['Research Area 1 Interactions between implanted polymeric materials and soft tissuesMy early work was focused on understanding soft tissue material interactions for the purpose of optimizing surgical sealant performance . The publications that emerged from this line of inquiry impacted the field in two distinct ways . First , we provided the initial demonstration that adhesion is a tissue specific phenomenon that can be exploited in advanced material design . Second , these and related publications established novel design strategies to enhance adhesion strength without compromising material biocompatibility the power in these strategies is that they can be generalized across material systems and surgical sealant applications . Research Area 2 Characterization , assessment , and modeling of endovascular technologiesEndovascular technologies such as drug eluting stents , erodible scaffolds , and drug coated balloons have steadily evolved over the past 40 years . Multidisciplinary research approaches are needed to design , optimize , and evaluate emergent devices , typically requiring consideration of hemodynamics , drug pharmacokinetics , material mechanics , and device degradation erosion kinetics . To accommodate this inherent complexity in the face of rapid device development , regulatory agencies have begun to expect and nearly require predictive computational models which clearly explain the mechanism of action and potential risk of new technologies . To meet this field demand , our work has been focused on the development of finite element based computational models and design deployment strategies to facilitate the continued advancement of endovascular technologies and their safe introduction into clinical practice . Research Area 3 Experimental and theoretical biomechanical studies on native and engineered blood vesselsThe identification of constitutive mechanical models of vascular tissue is essential for quantifying the local environment of mechanosensitive vascular cells in normal and disease states , understanding mechanically mediated vascular tissue remodeling , and providing a basis for the engineering of vascular tissue substitutes . Publications in these areas have been impactful in terms of providing data and models for previously understudied yet critical regions of the circulatory system , applying continuum mechanical principles to explain intra vessel variations in geometry , properties , and composition , and introducing tissue engineered constructs which exhibit enhanced matrix elaboration and thus potential as vascular substitutes .']"
151,"Shepherd, Jeremiah","Instructor, Computer Science & Engineering",Faculty,['JJ Shepherd teaches CSCE 145 and 146 courses .']
154,"Simin, Grigory","Undergraduate Director, Electrical Engineering",Faculty,"['SwearingenRoom 3A16301 Main StreetColumbia , SC 29208']"
163,"Sur, Sanjib ","Assistant Professor, Computer Science and Engineering",Faculty,"['Wireless networking, Mobile computing, Millimeter-wave, Terahertz']"
166,"Tan, Wenbin",Associate Professor,Faculty,['vascular biology']
169,"Thatcher, Matt E. ","Professor, Chair, Computer Science & Engineering",Faculty,"['My research examines the strategic and economic impacts of information technology IT with a focus on four themes IT value , software patent policy design , IT offshoring , and the social costs of information privacy .']"
173,"Valafar, Homayoun",Professor; Associate Chair of Research,Faculty,"['Computational Biology, Bioinformatics, Artificial Intelligence, Machine Learning, Neural Information Processing']"
182,"Wang, Guoan","Graduate Director, Electrical Engineering",Faculty,"['SwearingenRoom 3A12301 Main StreetColumbia , SC 29208']"
183,"Wang, Song","Professor, Research Director, Chair of the Tenure and Promotion Committee, Computer Science & Engineering",Faculty,"['Computer Vision, Image Processing, Machine Learning']"
186,"Wei, Xiaojun",Postdoctoral Research Associate,Staff,"['Biomedical Engineering, Functional Nanoparticles, Nanopore, Biosensor']"
188,"White, Ralph E.","Professor, Chemical Engineering",Faculty,"['CV of Dr . WhitePh . D . , University of California Berkeley , 1977M . S . , University of California Berkeley , 1973']"
189,"Williams, Christopher","Undergraduate Director, Chemical Engineering",Faculty,"['Swearingen Engineering CenterRoom 2C15301 Main StreetColumbia , SC 29208The Williams group research interests are in the area of heterogeneous catalysis and surface science , with a particular focus on studying solid liquid catalytic interfaces . Catalysis carried out in the liquid phase is very important for applications such as fine chemicals and pharmaceutical production , and in the production of new fuels from biorenewable resources . Our primary research involves the development and application of in situ or operando surface vibrational spectroscopic methods to study adsorption and catalysis at solid catalyst surfaces under industrially relevant reaction conditions i . e . , in the liquid phase and or at high gas pressures and temperatures . Specific techniques under development in our group include surface enhanced Raman spectroscopy SERS , attenuated total reflection infrared ATR IR spectroscopy , and sum frequency spectroscopy SFS . The information obtained with these approaches allows us to develop a molecular level understanding of the catalytic mechanisms that govern the function of heterogeneous catalysts under reaction conditions . Such understanding is critical if we wish to rationally design catalysts for specific applications in the future . Current reaction systems of interest include enantioselective hydrogenation of alpha ketoesters and alkenoic acids selective oxidation of alcohols , including especially glycerol , which is the major byproduct in biodiesel production hydrodeoxygenation of biomass derived organic acids and acid esters to hydrocarbon fuel and electrocatalytic reduction of carbon dioxide to hydrocarbons . Catalysts under investigation involve both polycrystalline transition metals and oxide supported mono and bimetallic nanoparticle catalysts . The latter materials are prepared either through traditional catalyst synthesis methods or more novel protocols under development e . g . , dendrimer metal nano composites , electroless deposition that allow for control of size and composition on the nanoscale . The Williams group is currently funded by the National Science Foundation , and by a variety of industrial sources .']"
190,"Won, Sang Hee","Associate Professor, Mechanical Engineering; Interim Director, Aerospace Engineering Program",Faculty,"['combustion, flames, fuels, propulsion, chemical kinetics']"
192,"Xu, Songhua",Associate Professor,Faculty,"['Songhua Xu s research interests are in areas of health information technology , including medical , health and cancer informatics artificial intelligence , including personalization , information retrieval , knowledge management , recommender systems and text and image mining patent informatics and intelligent software for practitioners in intellectual property law computer graphics and interactive techniques for multimedia visualization and visual analytics intelligent user interfaces .']"
198,"Zhang, Bin","Associate Professor, Electrical Engineering",Faculty,"['SwearingenRoom 3A22301 Main StreetColumbia , SC 29208']"
199,"Zhang, Qi",Assistant Professor,Faculty,"['My research interest is in artificial intelligence and reinforcement learning . The long term goal of my research is to build safe , reliable , and trustworthy AI systems that retain their power and flexibility to handle complex , diverse contexts . To this end , I develop and analyze decision making algorithms for uncertain , dynamic environments .']"
