,nsf_proposal_links_v1,title,synopsis
122,https://www.nsf.gov/pubs/2019/nsf19571/nsf19571.htm,NSF Program on Fairness in Artificial Intelligence in Collaboration with Amazon (FAI) (nsf19571) | NSF - National Science Foundation,"NSF has long supported transformative research in artificial intelligence (AI) and machine learning (ML). The resulting innovations offer new levels of economic opportunity and growth, safety and security, and health and wellness. At the same time, broad acceptance of large-scale deployments of AI systems relies critically on their trustworthiness which, in turn, depends upon the collective ability to ensure, assess, and ultimately demonstrate the fairness, transparency, explainability, and accountability of such systems. Importantly, the beneficial effects of AI systems should be broadly available across all segments of society."
342,https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm,National Robotics Initiative 2.0: Ubiquitous Collaborative Robots (NRI-2.0) (nsf19536) | NSF - National Science Foundation,"The NRI-2.0 program builds upon the original National Robotics Initiative (NRI) program to support fundamental research in the United States that will accelerate the development and use of collaborative robots (co-robots) that work beside or cooperatively with people. The focus of the NRI-2.0 program is on ubiquity, which in this context means seamless integration of co-robots to assist humans in every aspect of life."
99,https://www.nsf.gov/pubs/2019/nsf19525/nsf19525.htm,NSF/CASIS Collaboration on Transport Phenomena Research on the International Space Station (ISS) to Benefit Life on Earth,"The Division of Chemical, Bioengineering and Environmental Transport (CBET) in the Engineering Directorate of the National Science Foundation (NSF) is partnering with The Center for the Advancement of Science in Space (CASIS) to solicit research projects in the general field of fluid dynamics, particulate and multiphase processes, combustion and fire systems, and thermal transport processes that can utilize the International Space Station (ISS) National Lab to conduct research that will benefit life on Earth. U.S. entities including academic investigators, non-profit independent research laboratories and academic-commercial teams are eligible to apply."
257,https://www.nsf.gov/pubs/2019/nsf19520/nsf19520.htm,"Methodology, Measurement, and Statistics (MMS) (nsf19520) | NSF - National Science Foundation","The Methodology, Measurement, and Statistics (MMS) Program is an interdisciplinary program in the Directorate for Social, Behavioral, and Economic Sciences that supports the development of innovative analytical and statistical methods and models for those sciences. MMS seeks proposals that are methodologically innovative, grounded in theory, and have potential utility for multiple fields within the social, behavioral, and economic sciences. As part of its larger portfolio, the MMS Program partners with a consortium of federal statistical agencies to support research proposals that further the production and use of official statistics."
76,https://www.nsf.gov/pubs/2019/nsf19509/nsf19509.htm,NSF/CASIS Collaboration on Tissue Engineering and Mechanobiology on the International Space Station (ISS) to Benefit Life on Earth (nsf19509) | NSF - National Science Foundation,"The Divisions of Chemical, Bioengineering and Environmental Transport (CBET) and Civil, Mechanical, and Manufacturing Infrastructure (CMMI) in the Engineering Directorate of the National Science Foundation (NSF) are partnering with The Center for the Advancement of Science in Space (CASIS) to solicit research projects in the general fields of tissue engineering and mechanobiology that can utilize the International Space Station (ISS) National Lab to conduct research that will benefit life on Earth. U.S. entities including academic investigators, non-profit independent research laboratories and academic-commercial teams are eligible to apply."
374,https://www.nsf.gov/pubs/2018/nsf18598/nsf18598.htm,Big Data Regional Innovation Hubs,"NSF's Directorate for Computer and Information Science and Engineering (CISE) initiated the National Network of Big Data Regional Innovation Hubs (BD Hubs) program in FY 2015 (NSF 15-562). Four Big Data Hubs (BD Hubs)—Midwest, Northeast, South, and West—were established, one in each of the four Census Regions of the United States [1]. The BD Hubs provide the ability to engage local or regional stakeholders, e.g., city, county, and state governments, local industry and non-profits, and regional academic institutions, in big data research, and permit a focus on regional issues. These collaborative activities and partnerships play a critical role in building and sustaining a successful national big data innovation ecosystem."
203,https://www.nsf.gov/pubs/2018/nsf18585/nsf18585.htm,Division of Molecular and Cellular Biosciences: Investigator-initiated research projects (MCB) (nsf18585) | NSF - National Science Foundation,"The Division of Molecular and Cellular Biosciences (MCB) supports quantitative, mechanistic, predictive, and theory-driven fundamental research designed to promote understanding of complex living systems at the molecular, subcellular, and cellular levels. While recognizing the need for thorough and accurate descriptions of biological complexes and pathways, the priority of the Division is to support work that advances the field by capturing the predictive power of mechanistic, quantitative, and evolutionary approaches."
275,https://www.nsf.gov/pubs/2018/nsf18567/nsf18567.htm,Office of Advanced Cyberinfrastructure (OAC): Research Core Program,"The Office of Advanced Cyberinfrastructure (OAC) supports translational research and education activities in all aspects of advanced cyberinfrastructure (CI) that lead to deployable, scalable, and sustainable systems capable of transforming science and engineering research. Advanced CI includes the spectrum of computational, data, software, networking, and security resources, tools, and services, along with the computational and data skills and expertise, that individually and collectively can transform science and engineering. OAC supports advanced CI research to address new CI frontiers for discovery leading to major innovations, and supports the development and deployment processes, as well as expert services, necessary for realizing the research CI that is critical to the advancement of all areas of science and engineering research and education."
188,https://www.nsf.gov/pubs/2018/nsf18566/nsf18566.htm,Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences,"The Division of Mathematical Sciences (DMS) in the Directorate for Mathematical and Physical Sciences (MPS) at the National Science Foundation (NSF) and the National Institute of General Medical Sciences (NIGMS) at the National Institutes of Health (NIH) plan to support fundamental research in mathematics and statistics necessary to answer questions in the biological and biomedical sciences. Both agencies recognize the need to promote research at the interface between mathematical and life sciences. This program is designed to encourage new collaborations, as well as to support innovative activities by existing teams."
153,https://www.nsf.gov/pubs/2018/nsf18564/nsf18564.htm,Division of Physics: Investigator-Initiated Research Projects,The Division of Physics (PHY) supports physics research and the preparation of future scientists in the nation’s colleges and universities across a broad range of physics disciplines that span scales of space and time from the largest to the smallest and the oldest to the youngest.
273,https://www.nsf.gov/pubs/2018/nsf18528/nsf18528.htm,Expeditions in Computing,"The far-reaching impact and rate of innovation in the computer and information science and engineering fields has been remarkable, generating economic prosperity and enhancing the quality of life for people throughout the world."
106,https://www.nsf.gov/pubs/2018/nsf18514/nsf18514.htm,NSF/CASIS Collaboration on Tissue Engineering on the International Space Station to Benefit Life on Earth,"The Division of Chemical, Bioengineering and Environmental Transport (CBET) in the Engineering Directorate of the National Science Foundation (NSF) is partnering with The Center for the Advancement of Science in Space (CASIS) to solicit research projects in the general field of tissue engineering that can utilize the International Space Station (ISS) National Lab to conduct research that will benefit life on Earth. U.S. entities including academic institutions, non-profit independent research labs and academic-commercial teams are eligible to submit proposals."
31,https://www.nsf.gov/pubs/2017/nsf17601/nsf17601.htm,"Spectrum Efficiency, Energy Efficiency, and Security (SpecEES): Enabling Spectrum for All","The National Science Foundation's Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts to significantly improve the efficiency of radio spectrum utilization while addressing new challenges in energy efficiency and security, thus enabling spectrum access for all users and devices, and allowing traditionally underserved Americans to benefit from wireless-enabled goods and services. The SpecEES program solicitation (pronounced ""SpecEase"") seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs."
202,https://www.nsf.gov/pubs/2017/nsf17589/nsf17589.htm,Division of Molecular and Cellular Biosciences: Investigator-Initiated Research Projects,"The Division of Molecular and Cellular Biosciences (MCB) supports quantitative, mechanistic, predictive, and theory-driven fundamental research designed to promote understanding of complex living systems at the molecular, subcellular, and cellular levels. While recognizing the need for thorough and accurate descriptions of biological complexes and pathways, the priority of the Division is to support work that advances the field by capturing the predictive power of mechanistic, quantitative, and evolutionary approaches. MCB is soliciting proposals in four core clusters:"
27,https://www.nsf.gov/pubs/2017/nsf17580/nsf17580.htm,Division of Materials Research: Topical Materials Research Programs,"Research supported by the Division of Materials Research (DMR) focuses on advancing fundamental understanding of materials, materials discovery, design, synthesis, characterization, properties, and materials-related phenomena. DMR awards enable understanding of the electronic, atomic, and molecular structures, mechanisms, and processes that govern nanoscale to macroscale morphology and properties; manipulation and control of these properties; discovery of emerging phenomena of matter and materials; and creation of novel design, synthesis, and processing strategies that lead to new materials with unique characteristics. These discoveries and advancements transcend traditional scientific and engineering disciplines. The Division supports research and education activities in the United States through funding of individual investigators, teams, centers, facilities, and instrumentation. Projects supported by DMR are essential for the development of future technologies and industries that meet societal needs, as well preparation of the next generation of materials researchers."
190,https://www.nsf.gov/pubs/2017/nsf17569/nsf17569.htm,Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences,"The Division of Mathematical Sciences (DMS) in the Directorate for Mathematical and Physical Sciences (MPS) at the National Science Foundation (NSF) and the National Institute of General Medical Sciences (NIGMS) at the National Institutes of Health (NIH) plan to support research in mathematics and statistics on questions in the biological and biomedical sciences. Both agencies recognize the need for promoting research at the interface between the mathematical sciences and the life sciences. This program is designed to encourage new collaborations, as well as to support existing ones."
413,https://www.nsf.gov/pubs/2017/nsf17553/nsf17553.htm,Mathematical Sciences Research Institutes (nsf17553) | NSF - National Science Foundation,"Mathematical Sciences Research Institutes are national resources that aim to advance research in the mathematical sciences through programs supporting discovery and dissemination of knowledge in mathematics and statistics and enhancing connections to related fields in which the mathematical sciences can play important roles. Institute activities help focus the attention of some of the best mathematical minds on problems of particular importance and timeliness. Institutes are also community resources that involve a broad segment of U.S.-based mathematical sciences researchers in their activities. The goals of the Mathematical Sciences Research Institutes program include advancing research in the mathematical sciences, increasing the impact of the mathematical sciences in other disciplines, and expanding the talent base engaged in mathematical research in the United States."
301,https://www.nsf.gov/pubs/2017/nsf17541/nsf17541.htm,Robert Noyce Teacher Scholarship Program (nsf17541) | NSF - National Science Foundation,"The National Science Foundation Robert Noyce Teacher Scholarship Program seeks to encourage talented science, technology, engineering, and mathematics (STEM) majors and professionals to become K-12 mathematics and science (including engineering and computer science) teachers. The program invites creative and innovative proposals that address the critical need for recruiting and preparing highly effective elementary and secondary science and mathematics teachers in high-need local educational agencies. The program offers four tracks: Track 1: The Robert Noyce Teacher Scholarships and Stipends Track, Track 2: The NSF Teaching Fellowships Track, Track 3: The NSF Master Teaching Fellowships Track, and Track 4: Noyce Research Track. In addition, Capacity Building proposals are accepted from proposers intending to develop a future Track 1, 2, or 3 proposal."
226,https://www.nsf.gov/pubs/2015/nsf15574/nsf15574.htm,Information and Intelligent Systems (IIS): Core Programs,CISE’s Division of Information and Intelligent Systems (IIS) supports research and education projects that develop new knowledge in three core programs:
87,https://www.nsf.gov/pubs/2015/nsf15559/nsf15559.htm,Geobiology and Low-Temperature Geochemistry,"The Geobiology and Low-Temperature Geochemistry Program focuses on geochemical processes in terrestrial Earth’s surface environmental systems, as well as the interaction of geochemical and biological processes. The program supports field, laboratory, theoretical, and modeling studies of these processes and related mechanisms at all spatial and temporal scales. Studies may address: 1) inorganic and/or organic geochemical processes occurring at or near the Earth’s surface now and in the past, and across the broad spectrum of interfaces ranging in scale from planetary and regional to mineral-surface and supramolecular; 2) the role of life in the transformation and evolution of Earth’s geochemical cycles; 3) surficial chemical and biogeochemical systems and cycles, including their modification through environmental change and human activities; 4) low-temperature aqueous geochemical processes; 5) mineralogy and chemistry of earth materials; 6) geomicrobiology and biomineralization processes; and 7) medical mineralogy and geochemistry."
92,https://www.nsf.gov/pubs/2015/nsf15558/nsf15558.htm,Hydrologic Sciences,"The Hydrologic Sciences Program focuses on the fluxes of water in the environment that constitute the water cycle as well as the mass and energy transport function of the water cycle. The Program supports the study of processes from rainfall to runoff to infiltration and streamflow; evaporation and transpiration; the flow of water in soils and aquifers; and the transport of suspended, dissolved, and colloidal components. The Hydrologic Sciences Program retains a strong focus on linking fluxes of water and the components carried by water across boundaries between various interacting facets of the terrestrial system and the mechanisms by which these fluxes co-organize over a variety of timescales and/or alter fundamentals of water cycle interactions within the terrestrial system. The Program is also interested in how water interacts with the landscape and the ecosystem as well as how the water cycle and its coupled processes are altered by land use and climate. Studies may address physical, chemical, and biological processes that are coupled directly to water transport. Projects submitted to Hydrologic Sciences commonly involve expertise from basic sciences, engineering and mathematics; and proposals may require joint review with related programs. The Hydrologic Sciences Program will also consider synthesis projects."
280,https://www.nsf.gov/pubs/2015/nsf15524/nsf15524.htm,Cyber-Innovation for Sustainability Science and Engineering,"The Cyber-Innovation for Sustainability Science and Engineering (CyberSEES) program aims to advance interdisciplinary research in which the science and engineering of sustainability are enabled by new advances in computing, and in which computational innovation is grounded in the context of sustainability problems."
49,https://www.nsf.gov/pubs/2015/nsf15511/nsf15511.htm,Exploiting Parallelism and Scalability,Computing systems have undergone a fundamental transformation from the single-processor devices of the turn of the century to today's ubiquitous and networked devices and warehouse-scale computing via the cloud. Parallelism is abundant at many levels.
286,https://www.nsf.gov/pubs/2015/nsf15507/nsf15507.htm,Scalable Nanomanufacturing (SNM) (nsf15507),"The National Science Foundation (NSF) announces a fifth year of a program on collaborative research and education in the area of Scalable Nanomanufacturing. This program is in response to and is a component of the National Nanotechnology Initiative Signature Initiative: Sustainable Nanomanufacturing - Creating the Industries of the Future (http://www.nano.gov/node/611). Although many nanofabrication techniques have demonstrated the ability to fabricate small quantities of nanomaterials, nanostructures and nanodevices for characterization and evaluation purposes, the emphasis of the Scalable Nanomanufacturing program is on research to overcome the key scientific and technical barriers that prevent the production of useful nanomaterials, nanostructures, devices and systems at an industrially relevant scale, reliably, and at low cost and within environmental, health and safety guidelines. Competitive proposals will incorporate three elements in their research plans:"
34,https://www.nsf.gov/pubs/2014/nsf14529/nsf14529.htm,Enhancing Access to the Radio Spectrum,"The National Science Foundation's Directorates for Mathematical and Physical Sciences (MPS), Engineering (ENG), and Computer and Information Science and Engineering (CISE) are coordinating efforts to identify bold new concepts with the potential to contribute to significant improvements in the efficiency of radio spectrum utilization, and in the ability for traditionally underserved Americans to benefit from current and future wireless-enabled goods and services. EARS seeks to fund innovative collaborative research that transcends the traditional boundaries of existing programs, such as research that spans disciplines covered by two or more of the participating NSF directorates."
258,https://www.nsf.gov/pubs/2013/nsf13599/nsf13599.htm,Small Business Innovation Research Program Phase I Solicitation FY-2014 (Release 2),"The Small Business Innovation Research (SBIR) Program stimulates technological innovation in the private sector by strengthening the role of small business concerns in meeting Federal research and development needs, increasing the commercial application of federally supported research results, and fostering and encouraging participation by socially and economically disadvantaged and women-owned small businesses."
143,https://www.nsf.gov/pubs/2013/nsf13537/nsf13537.htm,"George E. Brown, Jr. Network for Earthquake Engineering Simulation Operations FY 2015-FY 2019","The George E. Brown, Jr. Network for Earthquake Engineering Simulation (NEES) was established by the National Science Foundation (NSF) as a multi-user, research infrastructure for earthquake engineering research, innovation, and education through a facility construction phase during 2000-2004, followed by operations of the infrastructure to support research and education activities from October 2004 through September 2014."
174,https://www.nsf.gov/pubs/2013/nsf13510/nsf13510.htm,Division of Molecular and Cellular Biosciences: Investigator-initiated research projects,"The Division of Molecular and Cellular Biosciences (MCB) supports quantitative, predictive, and theory-driven fundamental research and related activities designed to promote understanding of complex living systems at the molecular, subcellular, and cellular levels. MCB is soliciting proposals for hypothesis-driven and discovery research and related activities in four core clusters:"
193,https://www.nsf.gov/pubs/2013/nsf13500/nsf13500.htm,Cyber-Enabled Sustainability Science and Engineering,"The Cyber-Enabled Sustainability Science and Engineering (CyberSEES) program aims to advance interdisciplinary research in which the science and engineering of sustainability are enabled by new advances in computing, and where computational innovation is grounded in the context of sustainability problems."
164,https://www.nsf.gov/pubs/2012/nsf12614/nsf12614.htm,Interdisciplinary Behavioral and Social Science Research (IBSS)(nsf12614),The Interdisciplinary Behavioral and Social Science Research (IBSS) competition promotes the conduct of interdisciplinary research by teams of investigators in the social and behavioral sciences.
415,https://www.nsf.gov/pubs/2012/nsf12610/nsf12610.htm,Interdisciplinary Research in Hazards and Disasters,"The overarching goal of Hazards SEES is to catalyze well-integrated interdisciplinary research efforts in hazards-related science and engineering in order to improve the understanding of natural hazards and technological hazards linked to natural phenomena, mitigate their effects, and to better prepare for, respond to, and recover from disasters. The goal is to effectively prevent hazards from becoming disasters. Hazards SEES aims to make investments in strongly interdisciplinary research that will reduce the impact of such hazards, enhance the safety of society, and contribute to sustainability. The Hazards SEES program is a multi-directorate program that seeks to: (1) advance understanding of the fundamental processes associated with specific natural hazards and technological hazards linked to natural phenomena, and their interactions; (2) better understand the causes, interdependences, impacts and cumulative effects of these hazards on individuals, the natural and built environment, and society as a whole; and (3) improve capabilities for forecasting or predicting hazards, mitigating their effects, and enhancing the capacity to respond to and recover from resultant disasters."
64,https://www.nsf.gov/pubs/2012/nsf12598/nsf12598.htm,Geophysics,"The Geophysics Program supports basic research in the physics of the solid earth to explore its composition, structure, and processes from the Earth's surface to its' deepest interior. Laboratory, field, theoretical, and computational studies are supported. Topics include seismicity, seismic wave propagation, and the nature and occurrence of geophysical hazards; the Earth's magnetic, gravity, and electrical fields; the Earth's thermal structure; and geodynamics. Supported research also includes geophysical studies of active deformation, including geodesy, and theoretical and experimental studies of the properties and behavior of Earth materials."
201,https://www.nsf.gov/pubs/2012/nsf12549/nsf12549.htm,Computational and Data-Enabled Science and Engineering (CDS&E) in Engineering,"Computational and Data-Enabled Science and Engineering (CDS&E) is a NSF-wide cross-disciplinary activity that coordinates relevant disciplinary and interdisciplinary programs at the intersection of mathematics and statistics, computer and computational science, and the core science and engineering disciplines. It is dedicated to the development and use of advanced computational methods, information processing, data mining and analysis, and advanced cyberinfrastructure to enable and execute transformative scientific discovery and engineering innovation, and to the education of experts and non-experts in computation, including workforce development and training."
297,https://www.nsf.gov/pubs/2012/nsf12545/nsf12545.htm,Research on the Science and Technology Enterprise: Statistics and Surveys,The National Center for Science and Engineering Statistics (NCSES) of the National Science Foundation (NSF) is one of the thirteen principal federal statistical agencies within the United States.
367,https://www.nsf.gov/pubs/2011/nsf11576/nsf11576.htm,Broadening Participation Research Initiation Grants in Engineering 2012,A new solicitation for the BRIGE program is in preparation for a Fiscal Year 13 competition.
101,https://www.nsf.gov/pubs/2011/nsf11530/nsf11530.htm,Domestic Nuclear Detection Office-National Science Foundation Academic Research Initiative (ARI) (nsf11530),The ARI is a joint Domestic Nuclear Detection Office (DNDO) and National Science
145,https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm,Advancing Theory in Biology,"The Biological Sciences Directorate invites submission of proposals that advance our conceptual and theoretical understanding of living systems. The Advancing Theory in Biology (ATB) solicitation supports the development of new theoretical approaches that will improve our understanding of general biological principles that account for phenomena that occur independently across levels of biological organization. Awards will not exceed a total of $750,000 over a three year period. This total includes all participants in collaborative projects."
138,https://www.nsf.gov/pubs/2011/nsf11512/nsf11512.htm,"George E. Brown, Jr. Network for Earthquake Engineering Simulation Research (NEESR) (nsf11512)","The Division of Civil, Mechanical and Manufacturing Innovation (CMMI)"
68,https://www.nsf.gov/pubs/2010/nsf10612/nsf10612.htm,Dynamics of Coupled Natural and Human Systems (CNH) (nsf10612),The Dynamics of Coupled Natural and Human Systems (CNH) Program promotes interdisciplinary analyses of relevant human and natural system processes and complex interactions among human and natural systems at diverse scales.
362,https://www.nsf.gov/pubs/2010/nsf10591/nsf10591.htm,East Asia and Pacific Summer Institutes for U.S. Graduate Students,The East Asia and Pacific Summer Institutes (EAPSI) provide U.S. graduate students in science and engineering:
186,https://www.nsf.gov/pubs/2010/nsf10579/nsf10579.htm,Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences,"The Division of Mathematical Sciences in the Directorate for Mathematical and Physical Sciences at the National Science Foundation and the National Institute of General Medical Sciences at the National Institutes of Health plan to support research in mathematics and statistics on questions in the biological and biomedical sciences. Both agencies recognize the need and urgency for promoting research at the interface between the mathematical sciences and the life sciences. This competition is designed to encourage new collaborations, as well as to support existing ones."
320,https://www.nsf.gov/pubs/2010/nsf10563/nsf10563.htm,Instrument Development for Biological Research,"The Instrument Development for Biological Research (IDBR) Program supports the development of instrumentation that addresses demonstrated needs in biological research, in areas supported by NSF Biology programs (see https://www.nsf.gov/bio). The program accepts two types of proposals:"
302,https://www.nsf.gov/pubs/2009/nsf09607/nsf09607.htm,Science Master's Program,"The Science Master's Program prepares graduate students for careers in business, industry, nonprofit organizations, and government agencies by providing them not only with a strong foundation in science, technology, engineering and mathematics (STEM) disciplines, but also with research experiences, internship experiences, and the skills to succeed in those careers.  The program is intended to catalyze the creation of institution-based efforts that can be sustained without additional federal funding.  This program is also intended to encourage diversity in student participation so as to contribute to a broadly inclusive, well-trained science and engineering workforce."
335,https://www.nsf.gov/pubs/2009/nsf09604/nsf09604.htm,CHE-DMR-DMS Solar Energy Initiative,"The purpose of the CHE-DMR-DMS Solar Energy Initiative is to support interdisciplinary efforts by groups of researchers to address the scientific challenges of highly efficient harvesting, conversion, and storage of solar energy.  Groups must include three or more co-Principal Investigators of whom one must be a researcher in chemistry, a second in materials, and a third in mathematical sciences  in areas supported by the Divisions of Chemistry, Materials Research, and Mathematical Sciences, respectively.  The intent is to encourage new collaborations in which the mathematical sciences are linked in a synergistic way with the chemical and materials sciences to develop novel, potentially transformative approaches in an area of much activity but largely incremental advances.  Successful proposals will offer potentially transformative projects, new concepts, and interdisciplinary education through research involvement based on the integrated expertise and synergy from the three disciplinary communities."
