researcher_name,researcher_name_norm,first_name,gender_guesser_raw,gender_guesser_vote,genderize_vote,genderize_probability,sexmachine_raw,sexmachine_vote,pronoun_vote,gender,source
"Chen, Fanglin (Frank)","chen, fanglin (frank)",fanglin,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Chen, Yinchao","chen, yinchao",yinchao,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Chen, Yuche","chen, yuche",yuche,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Cheng, Xu","cheng, xu",xu,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Cole, Casey","cole, casey",casey,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Coman, Paul","coman, paul",paul,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Crichigno, Jorge","crichigno, jorge",jorge,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Cui, Taixing","cui, taixing",taixing,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"De Backer, Wout","de backer, wout",wout,male,male,unknown,,male,male,male,male,ensemble_majority
"Deng, Xiaomin ","deng, xiaomin",xiaomin,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Devereux, Emily","devereux, emily",emily,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Dillon, Anthony L","dillon, anthony l",anthony,male,male,unknown,,male,male,male,male,ensemble_majority
"Dougal, Roger A.","dougal, roger a.",roger,male,male,unknown,,male,male,male,male,ensemble_majority
"Downey, Austin","downey, austin",austin,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Dryer, Frederick  L. ","dryer, frederick l.",frederick,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Eastman, Caroline M. ","eastman, caroline m.",caroline,female,female,unknown,,female,female,female,female,ensemble_majority
"Eberth, John F.","eberth, john f.",john,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ebner, Armin D.","ebner, armin d.",armin,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Eslambolchi Moghadam, Sara","eslambolchi moghadam, sara",sara,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Fan, Daping","fan, daping",daping,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Farkas, Csilla ","farkas, csilla",csilla,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Farouk, Tanvir   I.","farouk, tanvir i.",tanvir,male,male,unknown,,male,male,male,male,ensemble_majority
"Fenner, Stephen A. ","fenner, stephen a.",stephen,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Fiedler, Kirk","fiedler, kirk",kirk,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Flora, Joseph","flora, joseph",joseph,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gadala-Maria, Francis","gadala-maria, francis",francis,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gassman, Sarah","gassman, sarah",sarah,female,female,unknown,,female,female,female,female,ensemble_majority
"Gatzke, Edward P.","gatzke, edward p.",edward,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gerdes, Jr., John H.","gerdes, jr., john h.",john,male,male,unknown,,male,male,male,male,ensemble_majority
"Gholizadeh, Sona","gholizadeh, sona",sona,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Gibbons, Joseph H.","gibbons, joseph h.",joseph,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ginn, Herbert L.","ginn, herbert l.",herbert,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Giurgiutiu (Jurjutzu), Victor","giurgiutiu (jurjutzu), victor",victor,male,male,unknown,,male,male,male,male,ensemble_majority
"Glenn Jr., Odell","glenn jr., odell",odell,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Goharian, Erfan","goharian, erfan",erfan,male,male,unknown,,male,male,male,male,ensemble_majority
"Gower, R. Michael","gower, r. michael",michael,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gray, Joshua","gray, joshua",joshua,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gross, Andrew J.","gross, andrew j.",andrew,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Gumina, Sharon","gumina, sharon",sharon,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Gürdal, Zafer ","gürdal, zafer",zafer,male,male,unknown,,male,male,male,male,ensemble_majority
"Haj-Hariri, Hossein ","haj-hariri, hossein",hossein,male,male,unknown,,male,male,male,male,ensemble_majority
"Harik, Ramy","harik, ramy",ramy,male,male,unknown,,male,male,male,male,ensemble_majority
"Henrich, Silke","henrich, silke",silke,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Heyden, Andreas","heyden, andreas",andreas,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Hikmet, Neset","hikmet, neset",neset,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Hoque, Shamia","hoque, shamia",shamia,unknown,unknown,unknown,,andy,unknown,female,female,pronoun_fallback
"Hu, Jianjun","hu, jianjun",jianjun,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Hu, Ming","hu, ming",ming,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Huang, Chin-Tser","huang, chin-tser",chin,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Huang, Kevin ","huang, kevin",kevin,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Huang, Xinyu ","huang, xinyu",xinyu,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Huhns, Michael N.","huhns, michael n.",michael,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Humphries, Wilfred Kenneth","humphries, wilfred kenneth",wilfred,male,male,unknown,,male,male,male,male,ensemble_majority
"Huray, Paul G.","huray, paul g.",paul,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Huynh, Nathan","huynh, nathan",nathan,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Imran, Jasim","imran, jasim",jasim,male,male,unknown,,male,male,male,male,ensemble_majority
"Jabbari, Esmaiel","jabbari, esmaiel",esmaiel,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Jabbarzadeh, Ehsan","jabbarzadeh, ehsan",ehsan,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Jalilvand, Golareh","jalilvand, golareh",golareh,unknown,unknown,unknown,,andy,unknown,female,female,pronoun_fallback
"Jamshidi, Pooyan ","jamshidi, pooyan",pooyan,male,male,unknown,,male,male,male,male,ensemble_majority
"Kanapala, Neema ","kanapala, neema",neema,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Karakalos, Stavros G.","karakalos, stavros g.",stavros,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Karakchi, Rasha","karakchi, rasha",rasha,female,female,unknown,,female,female,female,female,ensemble_majority
"Khan, Asif","khan, asif",asif,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Khan, Jamil   A.","khan, jamil a.",jamil,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Kidane, Addis ","kidane, addis",addis,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Knight, Travis W.","knight, travis w.",travis,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Koppel, Tarmo","koppel, tarmo",tarmo,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Lauterbach, Jochen","lauterbach, jochen",jochen,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Lee, Dongkyu","lee, dongkyu",dongkyu,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Lessner , Susan M.","lessner , susan m.",susan,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Lewis, Jeremy ","lewis, jeremy",jeremy,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Li, Chen ","li, chen",chen,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Liu, Chang","liu, chang",chang,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Loiselle, Val","loiselle, val",val,mostly_female,female,unknown,,mostly_female,female,unknown,female,ensemble_majority
"Luo, Lannan ","luo, lannan",lannan,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Lyons, Jed ","lyons, jed",jed,male,male,unknown,,male,male,male,male,ensemble_majority
"Mandal, Krishna","mandal, krishna",krishna,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Matolak, David","matolak, david",david,male,male,unknown,,male,male,male,male,ensemble_majority
"Matta, Fabio","matta, fabio",fabio,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Matthews, Catherine","matthews, catherine",catherine,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Matthews, Manton M","matthews, manton m",manton,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Matthews, Michael A.","matthews, michael a.",michael,male,male,unknown,,male,male,male,male,ensemble_majority
"McAnally, A. Steve","mcanally, a. steve",steve,male,male,unknown,,male,male,unknown,male,ensemble_majority
"McCants, Dale ","mccants, dale",dale,mostly_male,male,unknown,,mostly_male,male,unknown,male,ensemble_majority
"McNeill, Stephen ","mcneill, stephen",stephen,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Meekins, Benjamin H.","meekins, benjamin h.",benjamin,male,male,unknown,,male,male,male,male,ensemble_majority
"Mobli, Mostafa","mobli, mostafa",mostafa,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Monnier, John R.","monnier, john r.",john,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Morehouse, Jeff ","morehouse, jeff",jeff,male,male,unknown,,male,male,male,male,ensemble_majority
"Moss, Melissa Ann","moss, melissa ann",melissa,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Mullen, Robert L","mullen, robert l",robert,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Mustain, William E","mustain, william e",william,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Nelakuditi, Srihari","nelakuditi, srihari",srihari,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Nezhad, Cyrus Riahi","nezhad, cyrus riahi",cyrus,male,male,unknown,,male,male,unknown,male,ensemble_majority
"O'Kane, Jason","o'kane, jason",jason,male,male,unknown,,male,male,unknown,male,ensemble_majority
"O'Reilly, James","o'reilly, james",james,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ortiz-Hernandez, Ivelisse","ortiz-hernandez, ivelisse",ivelisse,unknown,unknown,unknown,,andy,unknown,female,female,pronoun_fallback
"Pain, Christopher C.","pain, christopher c.",christopher,male,male,unknown,,male,male,male,male,ensemble_majority
"Patel, Chandrashekhar","patel, chandrashekhar",chandrashekhar,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Paul, Titan C.","paul, titan c.",titan,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Peters, Wally ","peters, wally",wally,mostly_male,male,unknown,,mostly_male,male,unknown,male,ensemble_majority
"Plante, Portia","plante, portia",portia,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Popov, Branko N.","popov, branko n.",branko,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Potts, Jay","potts, jay",jay,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Qian, Yu","qian, yu",yu,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Ranson, Bill ","ranson, bill",bill,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Regalbuto, John R.","regalbuto, john r.",john,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Regan, Elizabeth A.","regan, elizabeth a.",elizabeth,female,female,unknown,,female,female,female,female,ensemble_majority
"Reifsnider, Kenneth ","reifsnider, kenneth",kenneth,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Rekleitis, Ioannis","rekleitis, ioannis",ioannis,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Reynolds, Tony ","reynolds, tony",tony,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Rhodes, Curtis ","rhodes, curtis",curtis,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Ritter, James A.","ritter, james a.",james,male,male,unknown,,male,male,male,male,ensemble_majority
"Rizos, Dimitris","rizos, dimitris",dimitris,male,male,unknown,,male,male,male,male,ensemble_majority
"Roberts, Elwyn","roberts, elwyn",elwyn,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Roberts, Kenneth L","roberts, kenneth l",kenneth,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Rocheleau, David ","rocheleau, david",david,male,male,unknown,,male,male,male,male,ensemble_majority
"Rose, John R. ","rose, john r.",john,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Sabalowsky, Andrew","sabalowsky, andrew",andrew,male,male,unknown,,male,male,male,male,ensemble_majority
"Sadati, Monirosadat (Sanaz)","sadati, monirosadat (sanaz)",monirosadat,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Sahin, Alphan ","sahin, alphan",alphan,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Santi, Enrico","santi, enrico",enrico,male,male,unknown,,male,male,male,male,ensemble_majority
"Sasanakul, Inthuorn","sasanakul, inthuorn",inthuorn,unknown,unknown,unknown,,andy,unknown,female,female,pronoun_fallback
"Schooley, Benjamin","schooley, benjamin",benjamin,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Shazly, Tarek ","shazly, tarek",tarek,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Shepherd, Jeremiah","shepherd, jeremiah",jeremiah,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Sheth, Amit","sheth, amit",amit,male,male,unknown,,male,male,male,male,ensemble_majority
"Shimpalee, Sirivatch","shimpalee, sirivatch",sirivatch,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Simin, Grigory","simin, grigory",grigory,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Smoak, Wilson","smoak, wilson",wilson,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Sockalingam, Subramani ","sockalingam, subramani",subramani,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Spinale, Frank G.","spinale, frank g.",frank,male,male,unknown,,male,male,male,male,ensemble_majority
"Srivastava, Biplav","srivastava, biplav",biplav,unknown,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Stanford, Thomas G.","stanford, thomas g.",thomas,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Stiffler, Nick","stiffler, nick",nick,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Sudarshan, Tangali S.","sudarshan, tangali s.",tangali,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Summers, Bill ","summers, bill",bill,male,male,unknown,,male,male,male,male,ensemble_majority
"Sur, Sanjib ","sur, sanjib",sanjib,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Sutton, Michael","sutton, michael",michael,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Taheri-Qazvini, Nader ","taheri-qazvini, nader",nader,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Tan, Wenbin","tan, wenbin",wenbin,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Tang, Chuanbing","tang, chuanbing",chuanbing,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Tang, Jijun","tang, jijun",jijun,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Thatcher, Matt E. ","thatcher, matt e.",matt,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Tong, Yan","tong, yan",yan,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Tooren, Michel  van","tooren, michel van",michel,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Uline, Mark J.","uline, mark j.",mark,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Valafar, Homayoun","valafar, homayoun",homayoun,male,male,unknown,,male,male,male,male,ensemble_majority
"Valtorta, Marco","valtorta, marco",marco,male,male,unknown,,male,male,male,male,ensemble_majority
"Van Brunt, Vincent","van brunt, vincent",vincent,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Vargas, Juan","vargas, juan",juan,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Vidal, Jose M. ","vidal, jose m.",jose,male,male,unknown,,male,male,male,male,ensemble_majority
"Viparelli, Enrica","viparelli, enrica",enrica,female,female,unknown,,female,female,unknown,female,ensemble_majority
"Vitzilaios, Nikolaos (Nikos)","vitzilaios, nikolaos (nikos)",nikolaos,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Vogt, Thomas","vogt, thomas",thomas,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Wang, Guiren","wang, guiren",guiren,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wang, Guoan","wang, guoan",guoan,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wang, Song","wang, song",song,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Wang, Xiaofeng","wang, xiaofeng",xiaofeng,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wang, Yi","wang, yi",yi,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wei, Xiaojun","wei, xiaojun",xiaojun,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wells, James R.","wells, james r.",james,male,male,unknown,,male,male,unknown,male,ensemble_majority
"White, Ralph E.","white, ralph e.",ralph,male,male,unknown,,male,male,male,male,ensemble_majority
"Williams, Christopher","williams, christopher",christopher,male,male,unknown,,male,male,unknown,male,ensemble_majority
"Won, Sang Hee","won, sang hee",sang,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Wu, Dezhi","wu, dezhi",dezhi,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Xu, Songhua","xu, songhua",songhua,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Xue, Xingjian (Chris) ","xue, xingjian (chris)",xingjian,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Yoon, Yeomin","yoon, yeomin",yeomin,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Yu, Lingyu ","yu, lingyu",lingyu,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Yuan, Lang","yuan, lang",lang,andy,unknown,unknown,,andy,unknown,male,male,pronoun_fallback
"Zand, Ramtin","zand, ramtin",ramtin,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Zhang, Bin","zhang, bin",bin,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Zhang, Qi","zhang, qi",qi,andy,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Zhou, Caizhi","zhou, caizhi",caizhi,unknown,unknown,unknown,,andy,unknown,unknown,unknown,unknown
"Ziehl, Paul","ziehl, paul",paul,male,male,unknown,,male,male,male,male,ensemble_majority
