Title,Attachment Text,Start Date,End Date
Call - India-Japan Cooperative Science Programme (IJCSP)," 
GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
 
INDIA-JAPAN COOPERATIVE SCIENCE PROGRAMME (IJCSP) 
 
CALL FOR PROPOSALS-2018 
 
 
DEADLINE DATE FOR SUBMITTING PROPOSALS: 6th September, 2017 
 
The Department of Science and Technology (DST), Ministry of Science & 
Technology. Government of India, New Delhi and the Japan Society for the 
Promotion of Science (JSPS) conduct the India-Japan Cooperative Science 
Programme (IJCSP) to promote bilateral scientific collaboration between Indian and 
Japanese scientists. Applications are invited from eligible Indian researchers 
/scientists to submit proposals for Joint Research Projects and Joint 
Workshops/Seminars under IJCSP.  
 
Areas of cooperation: The support is available to the following scientific areas: 
 
[A] Fundamental Sciences: Physical and Chemical Systems  
1. Condensed Matter Physics  
2. Molecules and Molecular Assembly Science  
3. Interface Science and Catalysis 
 
[B] Materials and System Engineering: Man-made Systems 
1. Advanced Materials and Nanotechnologies (This keyword includes areas of metal  
    ceramics, polymer science & engineering and materials processes)   
2. Engineering Sciences (This keyword includes areas of manufacturing science and  
engineering and synthesis & analysis/optimization & simulation of engineering 
processes and systems)  
 
[C] Natural Systems: Life Sciences and Bioengineering 
1. Molecular and Chemical Biosciences   
2. Biotechnology and Bioengineering   
3. Medical Biosciences  
4. Cognitive Science  
 
 
 
[D] Astronomy, Space, Earth System and Sciences   
1. Astronomy, Astrophysics, and Space & Planetary Science  
2. Geosciences (Marine, Meteorology, Geology, Paleontology)  
3. Geophysics and Geochemistry for Global Issues (Global warming and Natural  
    Resource)  
 
[E] Mathematics and Computational Science 
1. Mathematical Science  
 
2. Computational Science and Engineering  
3. Big Data analytics 
4. Machine Lear",21/07/2017,06/09/2017
National Award for Women Development through Application of Science & Technology,"      Government of India 
Department of Science & Technology 
                                                Invites Nominations for the  
 
National Award for Women’s Development through Application of 
Science & Technology 
 
 
Department of Science & Technology(DST) instituted the National Awards for Women’s 
Development through Application of Science & Technology. These awards have been 
instituted to recognize the contribution of individuals/institutions who have worked at 
the grassroots level for women’s development through application of science and 
technology (S&T). 
Nature of the Award 
 
This prestigious award is announced every year. It comprises of a memento, a citation 
and a cash prize of Rs.5.00 lakh (Five Lakhs) for Individual and Rs.15.00 
lakhs(Fifteen Lakhs) for Institutional category. 
 
Eligibility   
 
• The award is open to resident Indian citizens and institutions registered in India. 
Employees of Department of Science & Technology are not eligible for this 
award. 
• The individual/ institution should have a minimum experience of 10 years and 
outstanding contribution in research, design, development, adaptation or 
application of science and technology at the grassroots level for women’s 
development. 
• Individuals/ institutions that have received this award earlier are not eligible for 
consideration. 
 
Persons eligible to nominate 
 
Nomination for the Award can be made by Vice Chancellors of Universities, Directors 
of IITs, IISERs, NITs, R&D institutions, Heads of science based voluntary 
organizations, Secretaries of S&T Departments, Secretaries of State S&T 
Departments/Councils for S&T; earlier winners of this award.  
 
 
 
The last date for receipt of completed nominations is on or before 30th 
September, 2017. 
 
 
General Terms & Conditions 
 
1. A Selection Committee consisting of eminent persons has been constituted by the 
Department of Science & Technology for this purpose. 
2. The Selection Committee will have the sol",19/07/2017,30/09/2017
National Awards For Science & Technology Communication 2017,,21/08/2017,10/10/2017
DST - UKIERI Call for Research Proposals 2017- 18," 
 
 
 
 
 
DST – UKIERI Call for 
Research Proposals 
2017- 18 
 
 
 
Schedule 
S.No. 
Activities 
Date/Month 
1 
Date of Advertisement for Call for Proposals 
23 August 2017 
2 
Last Date for acceptance of Proposals 
20 October 2017 
3 
Dates for Pre-bid conference  
1 Sep 2017 – 30 Sep, 
2017  
4 
Evaluation and Final selection  
December 2017 
 
Disclaimer 
This Call for Proposal is not an agreement and is neither an offer nor invitation by the UKIERI 
Governance Board (the Authority) and DST to the prospective applicants or any other 
person. The purpose of this call for proposals is to provide interested parties with 
information to assist in the formulation of their application to this call for proposals (the 
""Application"").  
 
The Authority may in its absolute discretion, but without being under any obligation to do 
so, update, amend or supplement the information, assessment or assumptions contained in 
this call for proposals. 
 
The issue of this call for proposals does not imply that the Authority is bound to select and 
shortlist pre-qualified applications and reserves the right to reject all or any of the 
applications or bids without assigning any reasons whatsoever. 
Contact and Queries 
 
Before making direct queries please see the FAQs on the UKIERI website. 
Additional questions should be directed to the UKIERI Secretariat using the following email 
address: ukieri@britishcouncil.org  
Pre-bid workshops will be held across India and the UK in September 2017. Interested 
applicants shall register for the workshops once they are announced on the UKIERI website. 
Applicants in India are requested to send queries in advance at ukieri@britishcouncil.org 
while applicants in the UK should send queries to ukieri@international.ac.uk  
 
 
 
 
Background to the Programme 
The UK India Education Research Initiative (UKIERI) started in April 2006 with the aim of 
enhancing educational links between India and the UK.  
The following values and principles ha",30/08/2017,20/10/2017
Request for Proposals: India Italy Industrial R&D,"RFP Launch Date
24 June 2017
RFP Closing Date
31 Oct 2017
Global Innovation & Technology Alliance
Technology Development Board (TDB)
of Department of Science & Technology (DST), Government of India and Confederation of Indian Industry (CII).
 (GITA) is a Not–for–Profit Company, jointly incorporated by 
 
Italy-India RFP 2017 Process Flow 
INDIA
Contact details 
Mr. Nilesh Patel
E:  nilesh.patel@gita.org.in
T:  +91 11 4288 8009
RFP Submission in Italy 
& India
Stage 1
Stage 2
Stage 3
Italy-
 RFP 2017 
Launch
India
Application review in 
India & Italy
Announcement of results 
& project approval
Signing of agreement & 
project commencement 
Project Monitoring & 
Release of funds
• Submission of Online Application
• Submission of Additional Documents
• Screening of Qualified Applications
Initial Screening of Submitted Application
• PEC review in India & similar review in Italy
• Joint review between 
Italy & 
India
• Signing of Agreement 
• Project Commencement 
• Periodic Project Mentoring to review Milestones 
• Release of funds upon successful completion of milestones 
• Results announcement in 
Italy & similar review in 
India
• Appointment of Project Mentoring Committee 
• Due Diligence 
• Final Approval 
Global Innovation & Technology Alliance (GITA) 
www.gita.org.in
To find out more,
scan this code with 
your smartphone.
Department of Science 
& Technology
Government of India
ITALY
Ministero degli Affari Esteri e della Cooperazione Internazionale
D.G.S.P. IX
E:  dgsp-09bandi1@esteri.it
•
INDUSTRIAL R&D FUNDING ASSISTANCE UPTO INR 1.5 CRORES 
FOR BILATERAL COLLABORATIVE AND INNOVATIVE PROJECTS
Collaborative Industrial Research 
& Development Program 2017
ABOUT THE PROGRAMME
ELIGIBILITY 
In India
In Italy
 
• Project Lead from Industry 50% (minimum) 
• Govt. of India provides financial 
  support up to 50% 
 
• Project Lead from Industry 
• Govt. of Italy  provides financial 
  support of up to 200,000 Euros
FUNDING CRITERIA
GRANT FUNDING
Indian Organization/Indian",28/06/2017,31/10/2017
Call for Proposals 2017 - Indo-Hungarian Joint Research,"Indo-Hungarian Joint Research 
Call for Proposals 2017 
DEADLINE DATE 17th November, 2017 
 
 
General Instructions 
 
Proposals (as per funding instruments indicated at Annexure) are invited from 
scientists and researchers active in India and Hungary for support under the 
Indo-Hungarian National Innovation Office, Budapest, itself being supported by 
the Governments of India and Hungary. The nodal subordinated organisations 
for the implementation of IHSRF are the Department of Science & Technology 
(DST) of India, as well as the National Research, Development and Innovation 
Office (NRDIO) of Hungary. 
 
National Innovation Office, Budapest, Hungary aims at bringing together 
researchers from Hungarian and Indian institutions in scientific and technological 
areas of strategic relevance to both countries. 
 
Types of activities to be funded 
 
Joint research projects. 
 
Jointly identified priority areas 
 
Joint research projects 
 
• Biotechnology  
• ICT 
• Energy and Water 
 
 
Evaluation and selection 
 
Applications submitted under the categories Joint Research Projects and 
Institutional Networked Projects shall be reviewed by two independent expert 
committees, one in India, coordinated by DST, and one in Hungary, coordinated 
by the Research, National Innovation Office, Budapest. 
Based on the comments of their reviewers, DST and National Innovation Office, 
Budapest shall both elaborate a list of recommendations. Preference would be 
given to proposals with user agencies (industry). Applications to be funded shall 
be placed in category A, applications considered for funding (reserve list) in 
category B, and applications to be rejected in category C. 
 
Intellectual Property Rights 
 
Intellectual property rights resulting from the cooperation shall be protected and 
exercised in accordance with respective national legislation and international 
agreements of both countries. 
 
2
 
Submission 
 
Joint Research Projects 
 
Funding instruments are given",13/09/2017,17/11/2017
Indo-Norway Joint Call on Bio-Economy," 
DEPARTMENT OF SCIENCE & TECHNOLOGY (DST) 
and 
RESEARCH COUNCIL OF NORWAY (RCN) 
CALL FOR PROPOSALS on Bio-Economy (2017) 
Last date for submission of proposals: 22 November 2017 
 
Sustainable Innovation in Food and Bio-based Industries (BIONÆR) 
 
India and Norway have started a program for joint funding of Indo-Norwegian joint 
research projects in mutually agreed fields to achieve bilateral world-class scientific 
results in the field of bioeconomy.  
Guidelines and important considerations relevant to all types of applications in 
this call for proposals: 
Under the Agreement of Cooperation in Science & Technology concluded between 
the Government of India and the Government of Norway, the Department of Science 
and Technology (DST) of the Government of India and the Research Council of 
Norway (RCN) have started a program for joint funding of Indo-Norwegian joint 
research projects in mutually agreed fields to achieve world-class scientific results. 
Norwegian funding for this call for proposals is part of the two RCN programs 
INDNOR and BIONÆR. 
DST and RCN invites Indian and Norwegian researchers and research institutions to 
submit research proposals within the fields indicated below. The proposed 
collaboration should strengthen already on-going research activities in each research 
group and contribute significantly to added value to these on-going activities. 
Research areas covered 
The call is in the field of Bio-economy research and the following topics are covered 
by the call: 
• 
Agriculture and land based food (covered in the BIONÆR program) 
• 
Biotech (applied for Bio-economy) 
• 
Aquaculture 
• 
Bioenergy/Biofuel 
The call encompasses research activities within technology and natural sciences. 
What types of activities are eligible for funding 
 
2 
Funding may be sought for researcher projects. Joint researcher projects might have 
a duration of up to 3 years, including dissemination and network activities 
(workshops, conferences). For qua",04/09/2017,22/11/2017
Joint Call between India and Austria for exchange visits," 
 
 
 
 
Department of  
Science and 
Technology 
 
JOINT CALL FOR 
INDIA-AUSTRIA 
WISSENSCHAFTLICH
(WTZ)
 
The programme for Scientific & Technological Cooperation is carried out in the frame of the bilateral 
“Agreement between the Government of the Republic of Austria and the Government of the Republic of India 
on Scientific and Technological Co
Federal Ministry of Science, Research and Economy (BMWFW)
Technology (DST) of the Ministry of Science and Technology in India. 
 
Aims of the Programme 
 
• 
Funding researchers’ mobility in the frame of 
cooperation 
• 
Providing an opportunity for researchers to 
scientific careers, especially for early
 
Areas of Cooperation 
 
The call is open to all scientific 
technology 
 
Duration of projects 
 
The projects will be supported for a period of 
 
Who may apply? 
 
AUSTRIA: Researchers working at universities, universities of applied 
higher education and research institutions, companies) planning to carry out a non
project within the frame of this call are 
 
Project proposals submitted by early
involvement of PhD/doctoral students, 
 
The focus of the programme lies on new international partnerships. 
research partners will not be eligible for funding
 
 
 
 
INDIA:Researchers working at universities, 
                                                   
1Researchers with an experience up to 5 
into account (e.g. due to family reasons,
2Researchers with an experience of 5 to
taken into account (e.g. due to family reasons
CALL FOR PROPOSALS FOR EXCHANGE 
VISITS UNDER 
AUSTRIA SCIENTIFIC & TECHNOLOGICAL 
COOPERATIONbetween 
WISSENSCHAFTLICH-TECHNISCHE ZUSAMMENARBEIT 
(WTZ) and DEPARTMENT OF SCIENCE AND 
TECHNOLOGY (DST) 
for 2018 – 2020 
 
Closing date: November 30, 2017 
The programme for Scientific & Technological Cooperation is carried out in the frame of the bilateral 
between the Government of the Republic of Austria and the Government of the Republic of India 
on Scientific and Technological Co-operation of 1 ",11/09/2017,30/11/2017
"DST-DFG Awards for participation in the 68th Meeting of Nobel Laureates & Students, Lindau, Germany"," 
DEPARTMENT OF SCIENCE & TECHNOLOGY (DST) 
DST-DFG AWARDS FOR PARTICIPATION 
IN THE 68thMEETING OF NOBEL LAUREATES & STUDENTS 
Lindau, Germany during 24-29 June 2018 and  
Visits to German Institutes during 30June to 6th July 2018 
 
LAST DATE : NOVEMBER 30, 2017 
 
Each year since 1951, Nobel Prize winners in Chemistry, Physics, 
Physiology or Medicine have been meeting in Lindau, Germany, to discuss major 
issues of importance to their fields with students from around the world. The 
meetings include lectures, panel/ round-table discussions on interdisciplinary topics 
and informal small- group meetings with the Nobel Prize winners. The DST has 
been sending a group of students / young researchers to these meetings, since 
2001. 
 
It intended to send a group of Indian Students /young researchers to the 68th 
Meeting of Nobel Laureates & Students during 24-29 June 2018, which is dedicated 
to Physiology & Medicine and related disciplines including all aspects of 
medicine or biology, biochemistry, cell biology and similar areas as well as any area 
of clinical medicine.The German Research Foundation (DFG) will be organizing 
visits to the German Research Institutes or Universities who are engaging the state 
of the art research and education in the above referred themes, during the Post 
Lindau week, i.e. during 30 June to 6th July 2018. 
 
Applications are invited from bright and young students and researchers in the 
above disciplines for availing this award. The lectures and discussions are at a level 
appropriate for students/researchers in their early research careers. More details of 
the meeting can be seen at www.lindau-nobel.de 
 
Terms of Award: 
 
The selected participants will be provided with International travel related 
expenses, local transportation, lodging (twin-sharing basis) and boarding for 
attending the Meeting. It is mandatory for the selected students to attend the 
complete full week programme in Germany as well as briefing  meeting in D",23/08/2017,30/11/2017
Advertisement for call for proposal for DST-NRDMS Summer/Winter Schools in Geospatial S&T - 2017 - 2019,"A training program of the Natural Resources Data Management System (NRDMS), 
Department of Science and Technology, Government of India 
   Capacity Building and Training on  Geospatial Technologies 
In India’s recent journey of sustainable economic growth, knowledge has been identified as one of the 
key drivers. In this odyssey, India has adopted a new information regime through its ‘Digital India’ pro-
gram to support good governance, sustainable development goals empowerment its citizens. The chal-
lenges of this developmental path are inclusiveness, transparency, efficiency and productivity while bal-
ancing economic growth and sustainable development. Over the last three decades, geospatial technolo-
gies have proven to be an effective enabler to meet these challenges. 
In India’s evolving geospatial ecosystem, the cur-
rent focus in on improving the publicness in the 
provision of geospatial data and information 
through institutional strengthening for enhancing 
the performance of the organizations.   In this con-
text, developing technical capacity at the individual 
level, remains the key factor for the success of this 
change process.   
Capacity refers to the ability of individuals and or-
ganizations to make and implement decisions and 
perform functions in an effective, efficient and sus-
tainable manner. Capacity building is an ongoing 
process and involves changing attitudes, imparting 
technical knowledge and developing skills while 
maximizing 
the 
benefits 
of 
participation, 
knowledge exchange and ownership. 
Capacity building initiatives of the NRDMS, De-
partment of Science and Technology, Govern-
ment of India 
Recognizing the above needs, the goal of the Natu-
ral Resources Data Management System (NRDMS)  
program of the Department of Science and Tech-
nology, Government of India  is to  develop tools 
and techniques for integrated resource manage-
ment and capacity building at various levels, for 
planning and implementation in a spatio-tem",03/11/2017,15/12/2017
