,researcher_name,skills
11,"Besmann, Theodore  M.",['nuclear fuel waste material']
12,"Bischoff, Jeff ",['dr bischoff biomedical engineering passive mechanic soft tissue theoretical framework modeling growth tissue analysis structural constitutive evolution artificial tissue scaffolding constitutive testing modeling hypertrophic scar']
13,"Blanchette, James  Otto",['room main streetcolumbia sc fall area design cell instructive material delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l hanna rucker tipton brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation']
14,"Boltin, Nicholas D.",['dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics statistic information science computer science focus categorized two broad area one glean information data utilizing analytical technique including data mining statistical analysis dimension reduction supervised unsupervised machine learning well predictive modeling two design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin culley valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin valdes culley jm valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth']
15,"Booth, Kristen",['power electronics reliability medium frequency transformer optimization power grid resiliency']
16,"Brookshire, Robert G., Ph.D.",['innovation assembly street suite sc robert brookshire professor integrated information technology department college engineering computing columbia sc director master health information technology program ha taught new york north texas state virginia james madison co author using microcomputer sage publication article appeared journal computer information system byte social science computer review legislative study quarterly european journal operational journal past president organizational system association editor information technology learning performance journal itec record managementitec mainframe systemsitec linux programming administration']
17,"Broughton, Earnie",['earnie lead software developer virtual test bed vtb smart ship system design project addition writing code supervises daily activity development team project including mentoring student programming professional development best practice responsibility gathering stakeholder navy esrdc consortium private industry requirement developing plan integrating requirement consortium education']
18,"Buell, Duncan A.",['professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity co supervising work ward one app critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation discrete mathematics text string processing traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic often multiprecision arithmetic necessary another broad class problem custom computing machine devised bit oriented computation done string processing image processing computation one often need substantial parallelism bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl']
19,"Caicedo, Juan",['dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic model updating structural health monitoring earthquake engineering structural control dr caicedo member american society civil engineer earthquake engineering institute george brown jr network earthquake engineering simulation society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website']
20,"Carrilho, Leo ",['dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component using fea cfd method']
21,"Carver, Wayne",['school medicine bldg room garner ferry road columbia sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease']
22,"Chandrashekhar, MVS",['graphene chemistry plasmonics sic epitaxy']
23,"Chao, Yuh J. ",['dr chao theoretical experimental study failure fracture fatigue material structure welding modeling residual stress distortion impact mechanic material characterization failure criterion biomechanics nanomechanics durability pem fuel cell system cao yupeng qian guian yinbiao niffenegger markus chao yuh constraint assessment specimen tested uniaxial biaxial loading condition asme journal pressure vessel technology vol june wang bo zhu shiyang hao peng bi xiangju dukaifan chen bingquan xiangtao chao yuh buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation international journal solid structure']
24,"Chaudhry, Hanif",['hydraulic engineering water resource engineering hydraulic transient']
25,"Chen, Fanglin (Frank)",['dr chen synthesis characterization material energy conversion storage catalysis electrocatalysis composition structure property relationship ionic electronic conducting ceramic solid oxide fuel cell solid oxide electrolysis cell gas separation membrane']
26,"Chen, Yinchao",['swearingenroom main streetcolumbia sc']
27,"Chen, Yuche",['aiaugmented simulation emerging technology data sensing analytics']
28,"Cheng, Xu",['prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety']
29,"Cole, Casey",['computational biology bioinformatics']
30,"Coman, Paul",['thermodynamics liion safety']
31,"Crichigno, Jorge",['programmable switch science dmz iot security']
32,"Cui, Taixing",['school medicine bldg room garner ferry road columbia sc molecular medicine ehime school medicine japan fourth military medical r china']
33,"De Backer, Wout",['printing fused deposition modeling additive manufacturing']
34,"Deng, Xiaomin ",['solid mechanic finite element modeling simulation manufacturing process simulation molecular dynamic simulation']
35,"Devereux, Emily",['senior administrator year administration community economic development past year administration leadership experience ha concentrated strategic growth strategic planning development student growth administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory']
36,"Dillon, Anthony L",['innovation assembly street suite sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship']
37,"Dougal, Roger A.",['swearingenroom main street columbia sc dougal lead power energy system group principally focus power electronics also encompasses wide range associated technology across number engineering department dr dougal member board director electric ship development consortium esrdc capacity oversees usc activity related new power generation processing distribution technology ship coordination activity member school prof dougal also site director new nsf sponsored industry cooperative center grid connected advanced power electronic system grape joint project usc arkansas seek insert greater level advanced power electronics utility power grid better realize smart grid since sponsorship office naval prof dougal ha overseen development virtual test bed software comprehensive simulation virtual prototyping environment multidisciplinary dynamic system environment applied study electric system navy ship electrochemical power source hybrid power source power electronics control dr dougal currently supervises dozen graduate student several post doctoral scholar faculty number undergraduate researcher']
38,"Downey, Austin",['realtime system structural health monitoring']
39,"Dryer, Frederick  L. ",['main street rm carolinacolumbia sc dryer ha year application driven fundamental experience thermal science heat transfer fluid dynamic physical chemistry chemical kinetics relevant space air breathing propulsion fossil renewable energy conversion related ground transportation stationary power generation combustion related pollutant mitigation fire safety dr dryer current chemistry chemical kinetics fuel hazardous waste material related ignition combustion emission generation abatement petroleum derived fuel including gasoline diesel gas turbine heavy fuel oil combustion property non petroleum derived alternative fuel production chemical kinetic property ability address energy security reduction net carbon cycle emission well pollutant concern fire safety related issue earth micro gravity environment solid phase gas phase interaction related particle burning phenomenon nano catalyst material emission internal combustion engine including hydrocarbon nitrogen oxide aerosol particulate emission interaction including chlorine sulfur ash metal component effect stationary energy conversion chemical processing incineration']
40,"Eastman, Caroline M. ",['professor eastman focus effective efficient algorithm information retrieval want information easily quickly find useful correct find work area ha addressed broad spectrum problem efficient file organization search interface user interaction ha also working colleague problem database security pi co director professor bowles nsf experience undergraduate site']
41,"Eberth, John F.",['biomechanics mechanobiology cardiovascular biomedical engineering']
42,"Ebner, Armin D.",['ph catholic chile chile ebner major application magnetic field separation collection manipulation magnetic particle fluid medium particular emphasis use high gradient magnetic separation hgms principle technique consists use fine ferromagnetic element result application external magnetic field become energized create magnetic gradient large enough collect particle small size low magnetism collection otherwise realized today major emphasis potential hgms found medical area technique used assist magnetic drug targeting cancer treatment restenosis embolization control well rapid detoxification']
43,"Eslambolchi Moghadam, Sara",['natural product medicinal plant drug discovery wound healing']
44,"Fan, Daping",['school medicine bldg room garner ferry road columbia sc rupture vulnerable atherosclerotic plaque resulting thrombosis direct cause heart attack stroke killer united state many developed country atherosclerosis lipid deposit disease chronic inflammatory condition macrophage primary cholesterol sink well dominant inflammation machine atherogenesis macrophage foam cell formation inflammatory response form vicious cycle promote atherogenesis goal laboratory develop strategy disrupt vicious cycle promote regression atherosclerotic plaque restoring macrophage cholesterol homeostasis controlling macrophage inflammation myeloid cell major cell component tumor microenvironment tme whose interaction malignant cell determines aggressiveness tumor myeloid cell tme mainly myeloid derived suppressor cell mdscs dendritic cell tumor associated macrophage tam advanced tumor due unique feature tme including hypoxia abundance cytokine chemokines toll like receptor tlr ligand unusual metabolic profile complex signaling network tune dynamic function myeloid cell favor cancer progression focused understanding signal network developing strategy manipulate improve cancer treatment']
45,"Farkas, Csilla ",['information security']
46,"Farouk, Tanvir   I.",['plasma energy combustion thermalfluid science multiphysics modeling']
47,"Fenner, Stephen A. ",['professor fenner core theoretical foundation computing computability computational complexity especially quantum computing information']
48,"Fiedler, Kirk",['business computer science']
49,"Flora, Joseph",['dr flora main molecular modeling environmental reaction computer modeling water quality engineering process process water quality engineering']
50,"Gadala-Maria, Francis",['engineering centerroom main streetcolumbia sc stanford stanford']
51,"Gassman, Sarah",['geotechnical civil engineering']
52,"Gatzke, Edward P.",['room main street columbia sc gatzke area process modeling control optimization efficient operation chemical process requires fundamental understanding dynamic nonlinear characteristic variety controller formulation developed reduce product variability improve productivity estimation diagnostic method used develop process information easily directly acquired instrumentation recently new moving horizon formulation involving unknown value taking discrete value proposed application require online solution constrained mixed integer optimization problem ongoing effort parallel programming effort mixed integer optimization including parallel nonconvex nonseparable mixed integer outer approximation parallel nonconvex branch reduce method application area particulate processing bio process large scale system']
53,"Gerdes, Jr., John H.",['innovation assembly street suite sc vanderbilt nashville tenn computer science vanderbilt nashville tenn b lehigh bethlehem pa eng mechanical engineering cornell ithaca cornell ithaca dr john gerdes associate professor department integrated information columbia c teach software development web site development database management dr gerdes hold b eng mechanical engineering cornell lehigh computer science vanderbilt ph information system vanderbilt ha taught ohio state california riverside jia tong shanghai china article appeared communication acm decision support system transaction iie journal ha authored two patent one dealign measurement coke temperature one development new public key certificate support user privacy currently associate editor electronic commerce telecommunication system']
54,"Gholizadeh, Sona",['engineering education higher education system analysis']
55,"Gibbons, Joseph H.",['ph pittsburgh pittsburgh']
56,"Ginn, Herbert L.",['swearingenroom main street columbia sc carolinamississippi state']
57,"Giurgiutiu (Jurjutzu), Victor",['dr giurgiutiu span active material smart structure structural health monitoring mechatronics multi physic applied mechanic topic dr giurgiutiu ha published several book book chapter many journal article conference paper fellow royal aeronautical society raes american society mechanical engineer asme associate editor aeronautical journal raes']
58,"Glenn Jr., Odell",['fundamental aspect novel technology abatement allergenic protein involved development approach potentially reduce potency asthma trigger produced indoor environment allergen bound dry dust particle home effectiveness using dry ice essential oil cfd modeling elisa assay wa investigated present passion education along engineering education investigating new unique way teach undergraduate core fundamental key educator student']
59,"Goharian, Erfan",['integrated water resource management system analysis hydroinformatics']
60,"Gower, R. Michael",['immunoengineering biomaterials']
61,"Gray, Joshua",['experienced engineer diverse background ranging educational instruction mentoring role extensive experience development environment entrepreneurial start ups community based non profit social work educational role range experience teaching assistant graduate school chemical engineering laboratory serving mentor thesis committee member adjunct professor working national laboratory system serving laboratory manager instructor chemistry department state supported liberal art experience primarily involves application electrochemical engineering localized corrosion sustainable energy application worked area material compatibility corrosion susceptibility high temperature heat transfer fluid solar energy hydrogen storage fuel cell application development alternative separation process used nuclear fuel battery component characterization participated several start ups area fuel cell hydrogen storage technology currently co founder nonprofit area recovery substance use disorder']
62,"Gross, Andrew J.",['dr gross center mechanical property material includes design fabrication characterization architected material especially nanoscale constituent well use full field experimental data calibration material model']
63,"Gumina, Sharon",['innovation center assembly street suite office columbia sc year experience developer analyst educator information technology cisco academy instructor cyber security operation routing switching ccna ccna version developer using various tool including sql developer oracle visual studio palo alto network authorized cybersecurity academy instructor']
64,"Gürdal, Zafer ",['structural multidisciplinary design']
65,"Haj-Hariri, Hossein ",['fluid mechanic thermal management applied mathematics']
66,"Harik, Ramy",['dr harik fulbright scholar faculty member department mechanical engineering resident researcher mcnair center aerospace innovation currently visiting scientist nasa langley conducting automated fiber placement education join mechanical engineering master science automated manufacturing engineering technology master science industrial mechanical engineering doctor philosophy mainly teach course computer aided design cad manufacturing computer aided manufacturing cam dr harik associate editor computer aided design application international journal ha million usd funding boeing nasa sc department commerce fokker aerostructures dassault aviation funded student several agency recipient outstanding young educator award pi tau sigma honor society dr harik chair ace ace ace technical symposium aerospace conference exhibition wa chair plm international conference held columbia dr harik textbook manufacturing education featuring traditional emergent manufacturing topic']
67,"Henrich, Silke",['biomedical catawba stroom']
68,"Heyden, Andreas",['computational catalysis multiscale modeling biomass catalysis electrocatalysis uncertainty quantification']
69,"Hikmet, Neset",['health information technology health informatics information system']
70,"Hoque, Shamia",['metamodel healthy building sustainable technology transportation environment']
71,"Hu, Jianjun",['deep learning machine learning material informatics bioinformatics evolutionary computation']
72,"Hu, Ming",['dr hu modeling simulation micro nano scale thermal transport novel energy system particular low dimensional material nanostructures energy nanotechnology interfacial heat transfer advanced thermal management multi scale multiphysics modeling complex energy transport process full list publication']
73,"Huang, Chin-Tser",['network security network protocol design verification distributed system']
74,"Huang, Kevin ",['fuel cell battery gas membrane modeling electrochemistry']
75,"Huang, Xinyu ",['fuel cell composite coating durability']
76,"Huhns, Michael N.",['multiagent system serviceoriented computing ontology computer vision distributed computing']
77,"Humphries, Wilfred Kenneth",['area teaching professional practice soil dynamic effect blasting structure flexible pavement soil stabilization deep shallow foundation lateral earth pressure retaining wall present dr humphries serf senior geotechnical consultant terracon consultant inc national engineering firm approximately employee location city recognition dr humphries service engineering community ha received numerous award honor including order palmetto highest honor rank fellow asce nspe engineer year public service award letalier cup government employee year among others']
78,"Huray, Paul G.",['swearingenroom main streetcolumbia sc']
79,"Huynh, Nathan",['port operation drayage freight logistics health care']
80,"Imran, Jasim",['unsteady free surface flow sediment transport mass gravity flow turbidity current numerical experimental modeling']
81,"Jabbari, Esmaiel",['biomaterials tissue engineering protein delivery']
82,"Jabbarzadeh, Ehsan",['room main street columbia sc overarching theme robust design engineering tissue understanding modeling environmental effect stem cell differentiation tissue remodeling development engineering microenvironments based carbon nanotube array finely controllable biophysical biochemical property investigation molecular mechanism associated cell migration proliferation differentiation investigation lab revolve around cell sense distinctive type mechanical biochemical morphological cue integrate generate appropriate response work complemented parallel effort construct single cell based mathematical model intercellular signaling event linked signaling output associated fate commitment addition laboratory actively pursuing development biomaterials recapitulate key characteristic natural extracellular matrix application bone vascular tissue engineering yanez blanchette jabbarzadeh modulation inflammatory response implanted biomaterials using natural compound current pharmaceutical design press']
83,"Jalilvand, Golareh",['dr golareh jalilvand assistant professor chemical engineering department uofsc received sc sc ph material science engineering prior joining uofsc faculty course ph wa graduate assistant microelectronics fabrication reliability lab central florida worked silicon glass via tsv tgv based integration thermo mechanical reliability solder joint novel material interconnection heterogeneous integration packaging micro nano electronics dr jalilvand contribution field thin film integrated microelectronics ha recognized several national international platform prior microelectronics focused thin film solid oxide fuel cell energy conversion green paradigm studied new interconnect material dr jalilvand microstructure property relationship interconnects integrated circuit ic assisted machine learning method developed collaboration department computer science engineering uofsc currently working microstructure optimization via unique electroplating technique enhance reliability ic interconnects']
84,"Jamshidi, Pooyan ",['machine learning system autonomic computing computer system adversarial machine learning artificial intelligence']
85,"Kanapala, Neema ",['neema kanapala teach various undergraduate course']
86,"Karakalos, Stavros G.",['understanding reaction mechanism various heterogeneous catalytic process fundamental importance group main goal catalyst increase rate reaction achieved creating new energetic pathway reaction interaction catalyst reactant interaction lead new intermediate lower activation energy end study model system important order draw safe conclusion important information derived study model catalyst surface undergo structural electronic change reaction use efficient technique ultra high vacuum situ study catalyst necessity group use ray synchrotron radiation photoelectron spectroscopy xps srpes nap xps ray induced auger electron spectroscopy xaes ultra violet photoelectron spectroscopy ups temperature programmed desorption tpd tprs secondary ion mass spectroscopy sims situ catalytic treatment determine structure composition electronic property outermost atomic layer solid material']
87,"Karakchi, Rasha",['heterogeneous computing fpga overlay data analytics specialpurpose processor']
88,"Khan, Asif",['swearingenroom main streetcolumbia sc']
89,"Khan, Jamil   A.",['dr khan modeling manufacturing process temperature distribution machining heat transfer fluid flow phase change solidification melting casting welding computational experimental fluid dynamic related contaminant transport room heat transfer porous medium micro channel heat transfer thermodynamic analysis ic engine cfd analysis combustion process etc']
90,"Kidane, Addis ",['multifunctional material dynamic behavior material digital image correlation']
91,"Knight, Travis W.",['dr knight area advanced nuclear fuel material nuclear safeguard nuclear fuel cycle alternative us nuclear power including hydrogen space nuclear power propulsion']
92,"Koppel, Tarmo",['tarmo koppel topic ai application business virtual assistant chatbots decision support productivity enhancement industry internet thing iot smart manufacturing smart workplace sensor network remote sensing health safety monitoring threat assessment risk management']
93,"Lauterbach, Jochen",['heterogeneous catalysis conversion highthroughput screening machine learning ammonia decomposition synthesis']
94,"Lee, Dongkyu",['oxide electrocatalysis nanostructured oxide energy application']
95,"Lessner , Susan M.",['school medicine bldg room garner ferry road columbia sc lessner work focus vascular biology biomechanics atherosclerosis emphasis mechanical failure plaque rupture intraplaque angiogenesis atherosclerotic plaque rupture leading cause acute cardiovascular event heart attack stroke evidence suggests plaque rupture result adverse interaction biomechanical biological factor focus understanding interplay type factor order develop method reduce incidence plaque rupture biological side particularly interested intraplaque angiogenesis new blood vessel growth destabilizing factor plaque progression use transgenic mouse model human endarterectomy specimen examine relationship mechanical loading environment matrix organization mechano sensitive gene expression biomechanics front study micromechanics arterial tissue failure plaque rupture arterial dissection aim develop method identify patient elevated risk acute cardiovascular syndrome material failure play major role use experimental computational approach understand artery wall failure mechanism collaborate faculty mechanical engineering uofsc together vascular surgeon greenville hospital palmetto health musc']
96,"Lewis, Jeremy ",['jeremy lewis teach various undergraduate course']
97,"Li, Chen ",['dr li micro nano scale two phase heat flow physic prediction control modeling aim basic developing verifying theory two phase transport behavior application theory towards controlling two phase heat flow micro nano scale']
98,"Liu, Chang",['project point care diagnostics resource limited setting nanopores capable ultrasensitive quantitation single protein peptide thus permit monitoring low abundance circulating biomarkers goal project develop portable vitro diagnostics assay using nanopore technology rapid diagnosis treatment monitoring infectious disease g tuberculosis hiv resource limited high burden area future clinical translation working clinician validate assay performance detection active tuberculosis risk assessment hiv maternal fetal transmission project translational biomarkers biosensors enable personalized medicine cell type abundantly secrete extracellular vesicle ev including tumor cell usually show increased ev secretion level similar cell ev composed lipid bilayer contain molecular component cell protein lipid rna dna fragment reflect phenotypic state cell origin biomolecules excellent candidate diagnostic prognostic biomarkers work ha focused isolation circulating ev using nanomaterials microfluidics based technology identification novel proteomics genomics biomarkers inside enable early detection personalized treatment regimen cancer patient project nanostructure based tool fundamental biochemical study generic biosensing platform fundamental biochemical study inform medical pharmaceutical developing nanostructure based localized surface plasmon resonance lspr biosensors study biomolecule interaction nanostructures covered lipid bilayers mimic bacteria cell membrane possess similar two dimensional fluidity readily engineered contain specific lipid protein lspr signal nanostructures indicate binding kinetics biomolecules lipid bilayers potential application drug development drug resistance study']
99,"Loiselle, Val",['professor loiselle nuclear engineering environmental remediation emphasis waste management disposal epa pond closure metal recycle manufacturing']
100,"Luo, Lannan ",['sofware system security mobile security software engineering programming language deep learning']
101,"Lyons, Jed ",['senior associate dean academic affair dr lyon directs undergraduate recruitment retention graduation activity provides college oversight academic program level manages academic resource assessment service directs outreach activity part college communication marketing team includes engineering education engineering material jed lyon received phd mechanical engineering georgia institute technology joined assistant professor department mechanical engineering advanced full professor served mechanical engineering undergraduate director helped create wide center teaching excellence served first faculty director lyon wa appointed associate dean academic affair college engineering computing promoted senior associate dean lyon wa elected fellow american society engineering education asee wa founding member engineering division asee ha served chair executive committee member division lyon ha also served mechanical engineering division asee executive committee member secretary program chair division chair lyon scholarship area mechanical engineering engineering education includes funded implementation project ha mentored assistant teaching assistant teaching fellow teacher researcher addition asee fellow status lyon work engineering educator ha recognized georgia tech outstanding young alumnus award uofsc award michael mungo undergraduate teaching award bedenbach distinguished service award litman distinguished professor award educational foundation award outstanding faculty service lyon registered professional engineer state']
102,"Mandal, Krishna",['swearingenroom main streetcolumbia sc']
103,"Matolak, David",['swearingenroom main streetcolumbia sc']
104,"Matta, Fabio",['dr matta team conduct experimental theoretical construction material structural performance ranging affordable high quality earth masonry advanced cement polymer matrix composite emphasis extreme stressor area affordable high quality dwelling structure hazard mitigation strengthening repair civil structure multi scale multi functional reinforcement cement composite concrete load testing monitoring assessment constructed facility corrosion steel concrete structure sponsor national science foundation department energy national institute standard technology industry']
105,"Matthews, Catherine",['instructor csce class']
106,"Matthews, Manton M",['graph theory security natural language processing']
107,"Matthews, Michael A.",['professor mike matthew obtained ph texas joined teach conduct broad field thermodynamics project related hydrogen storage chemical hydride biomedical engineering green chemistry ha raised funding ha published approximately journal paper ha served department chair associate dean chair industrial engineering chemistry division american chemical society ac currently serf committee environmental improvement ac fellow american chemical society american institute chemical engineer two major thrust underway group first deal application supercritical carbon dioxide biomedical application funding national institute biomedical imaging bioengineering ha focused development novel technology sterilization disinfection synthetic natural biomaterials funding national institute environmental health science aimed abatement indoor allergenic protein respiratory hazard dr matthew founded carbonix llc aid three sbir grant niehs second thrust utilization chemical hydride hydrogen storage medium application pem fuel cell funding nsf doe ha led expanded understanding role deliquescence reaction water vapor sodium borohydride addition improved understanding hydration state reaction product important decreasing total water utilization reaction']
108,"McAnally, A. Steve",['dr mcanally focus water wastewater treatment particularly appropriate technology application developing community recent project optimization study potable water production using low cost portable water treatment unit area water treatment heavy metal removal corrosion control industrial waste minimization constructed wetland application industrial municipal wastewater treatment education reform civil environmental engineering']
109,"McCants, Dale ",['dr mccants nanofluids heat transfer mechanic electronics thermal management experimental computational fluid dynamic heat transfer']
110,"McNeill, Stephen ",['dr mcneill computer vision digital image correlation microprocessor experimental mechanic reverse engineering']
111,"Meekins, Benjamin H.",['solar energy hydrogen generation solid state electrochemistry electrochemistry photoelectrochemistry']
112,"Mobli, Mostafa",['interested numerical solution problem involving reactive flow heat transfer focused developing new numerical method applying previously developed method analyze wide range fluid flow heat transfer application specially focused continuous method simulate phase change micro nano scale used various cooling industry thermal analysis glow discharge show importance accurate temperature analysis glow discharge simulation']
113,"Monnier, John R.",['engineering centerroom main streetcolumbia sc wisconsin milwaukee wisconsin milwaukee st ambrose group focus heterogeneous catalysis ranging rational catalyst design synthesis characterization evaluation current design synthesis novel bimetallic catalyst selective transformation hydrocarbon higher value chemical higher output pem fuel cell bimetallic catalyst afford great opportunity changing performance either changing catalyst surface ensemble catalytic site permit selected reaction pathway modifying electronic property catalytic surface site introducing bifunctionality active surface placing different catalytic metal contiguous proximity bimetallic catalyst synthesis often carried either simultaneous co impregnation metal salt onto catalyst support successive step metal salt addition either preparative method virtually impossible ensure formation bimetallic particle rather formation separate metallic particle metal doe occur thus difficult characterize catalytic system even difficult correlate catalyst performance bimetallic catalyst composition laboratory us electroless deposition ed whereby controlled chemical reaction used deposit metal salt onto catalytic metal site ha activated reducing agent process may either catalytic deposition metal salt metal solution onto pre existing metal metal support autocatalytic deposition metal salt metal onto reduced deposited metal metal depending nature activated metal site reducing agent principle ed result selective deposition secondary metal onto metallic surface formation isolated crystallite secondary metal catalyst support perhaps importantly ed industrially relevant process applied wide range metal prepared large number bimetallic catalyst using electroless deposition supported carbon pt co pt pd pt rh tested electrocatalysts pem fuel cell silica supported composition ag pt au pd cu pd evaluated traditional catalytic reaction selective epoxidation olefin selective oxidation biomass molecule glycerol selective hydrogenation multi functional olefin reaction conducted either automated single pas plug flow reactor six two high pressure batch stirred tank reactor project currently funded nsf doe several industrial company']
114,"Morehouse, Jeff ",['dr morehouse student investigated broad range thermodynamic heat engine application ranging space based fuel cell power system ground coupled heat pump phase change storage system dr morehouse ha long associated solar energy system design analysis currently involved conventional hvac control project evaporative system application humid climate']
115,"Moss, Melissa Ann",['main streetroom sc moss focus involvement protein aggregation alzheimer disease one hallmark alzheimer disease senile plaque accumulate brain associated neuronal loss cerebrovasculature may perpetuate stoke plaque composed primarily amyloid protein aggregate fibril deposit yield plaque consequently inhibition aggregation ha emerged one therapeutic approach alzheimer disease focus understand aggregation process identify characterize inhibitor attenuate aggregation utilize myriad biophysical technique including chromatography fluorescence spectroscopy static dynamic light scattering western blotting dot blotting electron microscopy atomic force microscopy furthermore seek determine various aggregation product affect neuronal vascular cell particular interested ab stimulation neuronal apoptosis endothelial inflammatory response including nf kb activation correlating change ab aggregation cellular effect assist effort design effective therapeutic agent alzheimer disease therapy']
116,"Mullen, Robert L",['room main st columbia sc tr pm pm']
117,"Mustain, William E",['electrocatalysis battery synthesis electrochemical engineering']
118,"Nelakuditi, Srihari",['computer networking wireless networking mobile computing']
119,"Nezhad, Cyrus Riahi",['main street room sc riahi nezhad broad area specialization based innovative combination fluid mechanic separation science heterogeneous catalysis separation enhanced electric field including electro mixing drop electro coalescence application biofuel production radioactive waste treatment tannery waste water treatment high liquid flow packed tower optimal gas liquid phase interaction synthesis characterization mesoporous heterogeneous catalyst oxidative destruction volatile organic compound application automotive exhaust emission control application nano catalyst hydrogen production using water gas shift reaction gas engine driven air conditioning gedac heating cooling hydraulic fluid mechanic utilizing experimental numerical analysis application flow breached levee levee closure']
120,"O'Kane, Jason",['robotics']
121,"O'Reilly, James",['james reilly teach various undergraduate course']
