,researcher_name,skills
12,"Bischoff, Jeff ","{'tissue scaffolding', 'passive mechanic soft tissue', 'modeling growth', 'modeling hypertrophic', 'constitutive testing modeling hypertrophic scar', 'testing modeling', 'framework modeling', 'constitutive testing', 'structural constitutive', 'biomedical engineering', 'dr bischoff', 'growth tissue', 'hypertrophic scar', 'analysis structural constitutive evolution artificial tissue scaffolding', 'passive mechanic', 'bischoff biomedical', 'theoretical framework modeling growth tissue', 'constitutive evolution', 'soft tissue', 'theoretical framework', 'dr bischoff biomedical engineering', 'mechanic soft', 'evolution artificial', 'analysis structural', 'artificial tissue'}"
13,"Blanchette, James  Otto","{'sc fall', 'administered orally', 'genetic engineering', 'cell aggregate', 'skiles l', 'main streetcolumbia', 'transplantation genetic', 'sc fall area design cell instructive material', 'design cell', 'mesenchymal stem', 'angiogenic behavior', 'stem cell', 'tracking hypoxic', 'tipton', 'area design', 'cell cell', 'impact induction', 'instructive material', 'system expand', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'islet cell', 'geometry culture', 'asc spheroid', 'extending proper', 'function pancreatic', 'pancreatic islet', 'behavior endothelial', 'rucker', 'specific project', 'transplantation mesenchymal', 'delivery therapeutic', 'vascularization skiles', 'hanna', 'aggregate transplantation', 'enhance vascularization', 'induction pre', 'cell transplantation', 'instructive hydrogel', 'engineering specific', 'therapeutic tissue', 'hypoxic signaling', 'hydrogel material', 'brougham cook', 'design instructive', 'oxygenation differentially', 'cell instructive', 'chemotherapeutics administered', 'signaling three', 'blanchette asc', 'three dimensional', 'delivery system', 'project developing', 'dimensional cell', 'spheroid geometry', 'pre angiogenic', 'proper function', 'tissue engineering', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'fall area', 'room main', 'following transplantation', 'developing responsive', 'engineering design', 'material tracking', 'culture oxygenation', 'room main streetcolumbia', 'differentially impact', 'responsive delivery', 'cell enhance', 'cell following', 'expand spectrum', 'spectrum chemotherapeutics', 'endothelial cell', 'cook blanchette', 'orally extending'}"
14,"Boltin, Nicholas D.","{'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'incident edit', 'tool created', 'well predictive', 'initial study', 'utilizing analytical', 'latest software', 'triage chemical', 'analytical technique', 'department triage', 'computer science', 'boltin focus', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth', 'many discipline', 'emergency department', 'well predictive modeling two', 'field employ', 'dimensional reduction', 'reduction artificial', 'information data', 'glean information', 'valafar application', 'focus categorized', 'supervised unsupervised machine learning', 'neural network', 'industry data', 'data mining', 'data science', 'employ technique', 'mhealth uhealth', 'interaction boltin', 'science focus', 'machine learning', 'edit initial', 'dr boltin', 'jmir mhealth', 'including data', 'categorized two', 'culley', 'dimension reduction', 'decision support', 'discipline mathematics', 'area one', 'unsupervised machine', 'information science computer science focus categorized two broad area one', 'artificial neural', 'healthcare industry', 'supervised unsupervised', 'broad area', 'modeling two', 'focus developing', 'data utilizing', 'translational informatic', 'computer interaction', 'technique many', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'informatic tool', 'chemical mass', 'system healthcare', 'valdes', 'article press', 'information science', 'valafar mobile', 'press boltin', 'improve emergency', 'deploy sophisticated', 'design evaluate', 'development human', 'created deploy', 'software development', 'casualty incident', 'incident article', 'tool emergency', 'science interdisciplinary', 'network improve', 'human computer', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'mobile decision', 'two broad', 'developing decision', 'technique including', 'sophisticated algorithm', 'study jmir', 'using latest', 'evaluate translational', 'support tool', 'application dimensional', 'predictive modeling', 'glean information data utilizing analytical technique including data mining', 'algorithm using', 'interdisciplinary field', 'statistic', 'department mass', 'statistical analysis', 'culley jm', 'support system', 'mass casualty', 'science computer'}"
15,"Booth, Kristen","{'power grid resiliency', 'grid resiliency', 'frequency transformer', 'medium frequency transformer optimization', 'medium frequency', 'power electronics', 'transformer optimization', 'electronics reliability', 'power grid', 'power electronics reliability'}"
16,"Brookshire, Robert G., Ph.D.","{'record managementitec', 'innovation assembly street', 'computer review', 'performance journal itec record managementitec mainframe systemsitec linux programming administration', 'sage publication', 'ha taught', 'article appeared', 'association editor', 'professor integrated', 'taught new', 'system association', 'editor information', 'sc director master health information technology program ha taught new york', 'european journal', 'using microcomputer', 'learning', 'technology department', 'performance journal', 'college engineering', 'social science computer review', 'information technology', 'computer information', 'mainframe systemsitec', 'james madison co author using microcomputer sage publication', 'managementitec mainframe', 'social science', 'brookshire professor', 'president organizational', 'assembly street', 'article appeared journal computer information system', 'suite', 'journal operational', 'co author', 'madison co', 'technology program', 'journal computer', 'microcomputer sage', 'legislative study', 'study quarterly', 'itec record', 'north texas state', 'master health', 'virginia', 'columbia', 'james madison', 'information system', 'past president', 'journal past president organizational system association editor information technology', 'organizational system', 'programming administration', 'journal past', 'health information', 'sc robert brookshire professor integrated information technology department college engineering computing', 'legislative study quarterly', 'integrated information', 'director master', 'new york', 'texas state', 'systemsitec linux', 'program ha', 'sc director', 'engineering computing', 'author using', 'journal itec', 'robert brookshire', 'appeared journal', 'linux programming', 'european journal operational', 'innovation assembly', 'science computer', 'byte', 'department college', 'north texas', 'sc robert'}"
17,"Broughton, Earnie","{'industry requirement', 'private industry', 'ship system', 'mentoring student', 'practice responsibility', 'developer virtual', 'gathering stakeholder', 'activity development', 'requirement consortium', 'team project', 'esrdc consortium', 'system design', 'stakeholder navy', 'virtual test', 'software developer', 'private industry requirement developing plan integrating requirement consortium education', 'including mentoring student programming professional development best practice responsibility gathering stakeholder navy', 'test bed', 'lead software', 'development team', 'daily activity', 'best practice', 'bed vtb', 'writing code', 'earnie lead', 'supervises daily activity development team project', 'supervises daily', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'requirement developing', 'developing plan', 'including mentoring', 'consortium education', 'professional development', 'plan integrating', 'integrating requirement', 'project addition', 'design project', 'development best', 'vtb smart', 'responsibility gathering', 'student programming', 'addition writing', 'programming professional', 'smart ship'}"
18,"Buell, Duncan A.","{'traditional computer', 'performing computation', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'computation done', 'often sufficient', 'urban renewal', 'english essay', 'substantial parallelism', 'problem computational', 'computational problem', 'team auditing', 'multiprecision arithmetic', 'buell past', 'floating point', 'bit oriented', 'fast integer', 'class problem', 'problem process', 'voting system', 'neighborhood adjacent', 'vote total', 'project building', 'co supervising', 'theory fast', 'often need', 'ida cc', 'columbia sc', 'broad class', 'computation normally', 'directed splash', 'text string', 'compute element', 'perform significantly', 'custom computing', 'critical interactive', 'renewal columbia', 'essay linguistic', 'arithmetic often', 'reduced efficiency', 'sufficient accuracy', 'total certified', 'improvement writing', 'efficiency one', 'certified state', 'one class', 'whose application', 'computing machine', 'done string', 'processing computation', 'one neighborhood', 'ha part', 'process lead', 'characteristic improvement', 'necessary another', 'normally perform', 'cc directed', 'auditing election', 'iphone urban', 'problem number', 'another broad', 'algorithm architecture', 'architecture performing', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'discrete mathematics text string processing', 'integer arithmetic', 'discrete mathematics', 'support vote', 'digital humanity', 'buell recent', 'electronic voting', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'data support', 'work ha', 'recent work', 'interactive iphone', 'fpgas compute', 'programmed vhdl', 'vote absence', 'ward one', 'accuracy ida', 'splash project', 'devised bit', 'computer architecture', 'writing pedagogy', 'role evicting', 'first year', 'bit arithmetic', 'machine used', 'sc role', 'one often', 'machine devised', 'co supervising work ward one app', 'linguistic characteristic', 'resident ward', 'work ward', 'professor buell', 'used xilinx', 'point computation', 'need substantial', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'often multiprecision arithmetic', 'data discovering', 'oriented computation', 'application programmed', 'system digital', 'one often need substantial parallelism', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'past included', 'often multiprecision', 'engaged analysis', 'oriented toward', 'element whose', 'absence data', 'uncounted vote', 'bit bit', 'year english', 'toward floating', 'xilinx fpgas', 'included algorithm', 'election data', 'problem custom', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'state digital', 'analysis first', 'significantly reduced', 'discovering problem', 'lead uncounted', 'evicting resident', 'image processing', 'image processing computation', 'pedagogy professor', 'part team', 'supervising work', 'number theory', 'ha electronic', 'string processing', 'building custom', 'architecture oriented', 'humanity ha', 'one app', 'mathematics text'}"
19,"Caicedo, Juan","{'emphasis structural', 'structural dynamic', 'area structural', 'dynamic numerical', 'health monitoring', 'engineering institute', 'structural engineering', 'structural health monitoring', 'earthquake engineering institute', 'american society', 'experimental mechanic', 'area specialization', 'structural health', 'lab website', 'society engineering', 'civil engineer', 'specialization structural', 'engineering emphasis', 'brown jr', 'jr network', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'control dr', 'dr caicedo', 'dynamic intelligent', 'intelligent infrastructure', 'society experimental', 'publication visit', 'george brown', 'experimental area', 'numerical experimental', 'earthquake engineering', 'model updating', 'infrastructure lab', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'george brown jr network earthquake engineering simulation', 'caicedo area', 'network earthquake', 'engineering simulation', 'list project', 'member american', 'project publication', 'educator complete', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website', 'engineering structural', 'society civil', 'caicedo member', 'mechanic american', 'structural control', 'visit structural', 'engineering educator', 'complete list'}"
20,"Carrilho, Leo ","{'fea cfd', 'hydraulic design', 'process phenomenon', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'modeling simulation', 'dr leo', 'fuel core', 'using fea', 'design pwr', 'thermal hydraulic', 'pwr nuclear', 'core component', 'using fea cfd method', 'leo carrilho', 'simulation process', 'structural thermal', 'nuclear fuel', 'phenomenon structural', 'cfd method', 'carrilho modeling'}"
21,"Carver, Wayne","{'regulation fibroblast', 'abuse result', 'gene expression', 'associated hypertension', 'produced largely', 'animal model', 'dr carver', 'heart produced', 'increased accumulation', 'exposure alcohol', 'bldg room', 'known affect', 'commonly associated', 'alters heart', 'contractile muscle', 'cell interconnected', 'interconnected supported', 'expression regulated', 'extracellular matrix', 'regulated heart', 'examine regulation', 'fibroblast dr', 'supported elaborate', 'elaborate extracellular', 'medicine bldg', 'understanding fibroblast', 'endothelial cell', 'matrix seen', 'accumulation extracellular', 'cardiovascular disease', 'cell non', 'myocardial infarction', 'others cell', 'school medicine bldg room garner ferry road columbia', 'disease instance', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'school medicine', 'model used', 'carver lab', 'cardiovascular performance', 'alcohol seen', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'fibrosis result', 'including fibroblast', 'used examine', 'road columbia', 'muscle cell', 'infarction increased', 'composed contractile', 'cell others', 'matrix change', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'matrix fibrosis', 'change density', 'function extracellular', 'cell type', 'fibroblast cardiovascular', 'organization extracellular', 'density organization', 'largely cardiac', 'performance correlated', 'result stiffer', 'heart particularly', 'heart disease', 'particularly interested', 'behavior gene', 'wall heart', 'fibroblast behavior', 'fibrosis cell', 'hypertension myocardial', 'ventricular wall', 'heart composed', 'garner ferry', 'interested chronic', 'culture animal', 'stiffer myocardium', 'myocardial fibrosis', 'result myocardial', 'cell culture', 'ferry road', 'affect cardiovascular', 'seen alcohol', 'focused understanding', 'alcohol abuse', 'matrix known', 'non muscle', 'excessive accumulation', 'type including', 'seen fibrosis', 'heart function', 'chronic exposure', 'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance', 'matrix heart', 'fibrosis commonly', 'cardiac fibroblast', 'correlated heart', 'lab focused', 'room garner', 'sc ventricular'}"
22,"Chandrashekhar, MVS","{'graphene', 'plasmonics', 'chemistry', 'epitaxy', 'sic'}"
23,"Chao, Yuh J. ","{'xiangtao', 'welding modeling', 'modeling residual', 'chen bingquan', 'uniaxial biaxial', 'biaxial loading', 'impact mechanic', 'june wang bo', 'numerical investigation', 'theoretical experimental', 'quasi perfect', 'hao peng', 'fatigue material', 'dukaifan', 'biomechanics nanomechanics', 'wang bo', 'fracture fatigue', 'failure criterion', 'vol', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'dr chao', 'fracture fatigue material structure', 'yuh', 'pem fuel', 'constraint assessment', 'loading condition', 'guian', 'durability pem fuel cell system cao', 'cell system', 'material structure', 'asme journal', 'journal solid', 'welding modeling residual stress distortion', 'yinbiao niffenegger', 'study failure', 'system cao', 'markus chao', 'chao yuh', 'buckling quasi', 'experimental study', 'shell axial', 'durability pem', 'june wang', 'cylindrical shell', 'vessel technology', 'impact mechanic material characterization failure criterion', 'chao theoretical', 'assessment specimen', 'perfect cylindrical', 'zhu shiyang', 'material characterization', 'international journal', 'characterization failure', 'journal pressure', 'dr chao theoretical experimental study failure', 'specimen tested', 'tested uniaxial', 'pressure vessel', 'mechanic material', 'asme journal pressure vessel technology', 'yupeng qian', 'combined experimental', 'solid structure', 'compression combined', 'stress distortion', 'bi xiangju', 'international journal solid structure', 'fuel cell', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'residual stress', 'experimental numerical', 'axial compression'}"
24,"Chaudhry, Hanif","{'water resource', 'water resource engineering', 'hydraulic transient', 'resource engineering', 'hydraulic engineering'}"
25,"Chen, Fanglin (Frank)","{'solid oxide fuel cell', 'solid oxide electrolysis cell', 'composition', 'structure property relationship', 'synthesis characterization', 'oxide fuel', 'energy conversion', 'solid oxide', 'characterization material', 'gas separation membrane', 'dr chen synthesis characterization material energy conversion storage', 'oxide electrolysis', 'ionic electronic', 'gas separation', 'separation membrane', 'electrolysis cell', 'chen synthesis', 'conducting ceramic', 'catalysis electrocatalysis', 'property relationship', 'dr chen', 'structure property', 'ionic electronic conducting ceramic', 'electronic conducting', 'conversion storage', 'fuel cell', 'material energy'}"
26,"Chen, Yinchao","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
27,"Chen, Yuche","{'data sensing analytics', 'aiaugmented simulation', 'emerging technology', 'data sensing', 'sensing analytics'}"
28,"Cheng, Xu","{'cheng ha', 'division innovative', 'kit germany', 'tong sjtu', 'phd student', 'thermal hydraulics', 'undergraduate master', 'currently professor', 'give lecture', 'supervised supervising', 'system kit', 'ha supervised', 'teaching experience', 'karlsruhe institute', 'main field', 'paper main', 'prof cheng', 'nuclear thermal', 'year teaching', 'nuclear system', 'lecture undergraduate', 'shanghai jiao', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'innovative nuclear', 'master student', 'year experience', 'field nuclear', 'jiao tong', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'director division', 'supervising phd', 'sjtu give', 'hydraulics nuclear', 'technology kit', 'nuclear safety', 'professor karlsruhe', 'experience year', 'ha published', 'kit ha', 'experience currently', 'institute technology', 'kit sjtu', 'sjtu china', 'published paper', 'germany shanghai', 'ha year', 'student ha', 'student kit'}"
29,"Cole, Casey","{'computational biology', 'bioinformatics'}"
30,"Coman, Paul","{'liion safety', 'thermodynamics'}"
31,"Crichigno, Jorge","{'programmable switch', 'iot security', 'science dmz'}"
32,"Cui, Taixing","{'school medicine bldg room garner ferry road columbia', 'sc', 'fourth military medical', 'ferry road', 'school medicine', 'room garner', 'bldg room', 'road columbia', 'ehime school medicine', 'fourth military', 'military medical', 'molecular medicine', 'medicine bldg', 'ehime school', 'garner ferry', 'r china', 'japan'}"
33,"De Backer, Wout","{'fused deposition', 'fused deposition modeling', 'deposition modeling', 'printing', 'additive manufacturing'}"
34,"Deng, Xiaomin ","{'manufacturing process', 'dynamic simulation', 'manufacturing process simulation', 'molecular dynamic', 'finite element', 'solid mechanic', 'process simulation', 'modeling simulation', 'molecular dynamic simulation'}"
35,"Devereux, Emily","{'strategic growth', 'agent resource', 'administration focused', 'capacity reputation', 'strategic planning', 'perceived bias', 'process based', 'agency review', 'signal competitiveness', 'funding sponsor', 'funding review', 'institution signal', 'administrator year', 'past year administration leadership experience ha concentrated strategic growth', 'year administration', 'contributes perceived', 'identify contributes', 'national ranking', 'experience ha', 'senior administrator year administration community economic development', 'student growth', 'development', 'goal identify', 'reputation goal', 'principal agent', 'past year', 'dependency theory', 'resource dependency', 'economic development', 'concentrated strategic', 'administrative capacity', 'community economic', 'bias funding', 'based principal', 'based administrative', 'foundation agency', 'competitiveness funding', 'administration leadership', 'bias federal', 'sponsor based', 'enables institution', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory', 'leadership experience', 'review process', 'ha concentrated', 'ranking perceived', 'review enables', 'administration community', 'focused national', 'senior administrator', 'federal foundation'}"
36,"Dillon, Anthony L","{'instructor undergraduate', 'innovation assembly street', 'brings numerous', 'sc dillon', 'business partnership', 'clinical instructor', 'technology brings', 'partnership relationship', 'information technology', 'dillon director', 'sector related', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'program within', 'assembly street', 'suite', 'iit mhit', 'educational technology', 'private public', 'technology clinical', 'within iit', 'graduate program', 'department integrated', 'public sector', 'undergraduate graduate', 'ha worked', 'director internship', 'numerous business', 'integrated information', 'related educational', 'mhit program', 'program ha', 'internship department', 'within private', 'innovation assembly', 'worked within'}"
