,researcher_name,skills
10,"Berge, Nicole D.","{'development subsequent', 'landfill thermochemical', 'disposed nanomaterials', 'biological process', 'personal care', 'room berge', 'solid waste', 'lead carbon', 'groundwater remediation', 'energy yield', 'remediation technology', 'compound bioreactor', 'thermochemical conversion', 'endocrine disrupting', 'value added product production specific area exploration fate disposed nanomaterials', 'treatment technique', 'subsequent evaluation', 'bioreactor landfill', 'resource recovery', 'pharmaceutical', 'yield waste', 'product production', 'increasing energy', 'municipal solid', 'main street', 'improving understanding', 'room berge focus improving understanding physical', 'waste stream', 'treatment process', 'personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology', 'disrupting compound', 'energy generation', 'fate disposed', 'evaluation innovative', 'promote sustainable', 'berge focus', 'production specific', 'area exploration', 'manipulated promote', 'product endocrine', 'leachate treatment', 'technique lead', 'chemical', 'waste increasing', 'value added', 'added product', 'process manipulated', 'conversion municipal', 'process development', 'care product', 'sustainable waste', 'focus improving', 'carbon sequestration', 'innovative groundwater', 'specific area', 'recovery waste', 'waste treatment', 'exploration fate', 'stream leachate', 'biological process manipulated promote sustainable waste treatment technique lead carbon sequestration', 'understanding physical', 'stream resource'}"
11,"Besmann, Theodore  M.","{'nuclear fuel waste material', 'waste material', 'fuel waste', 'nuclear fuel'}"
12,"Bischoff, Jeff ","{'tissue scaffolding', 'mechanic soft', 'dr bischoff biomedical engineering', 'passive mechanic', 'hypertrophic scar', 'passive mechanic soft tissue', 'structural constitutive', 'theoretical framework', 'evolution artificial', 'constitutive testing', 'framework modeling', 'constitutive testing modeling hypertrophic scar', 'artificial tissue', 'modeling growth', 'modeling hypertrophic', 'bischoff biomedical', 'analysis structural', 'growth tissue', 'analysis structural constitutive evolution artificial tissue scaffolding', 'dr bischoff', 'biomedical engineering', 'soft tissue', 'testing modeling', 'theoretical framework modeling growth tissue', 'constitutive evolution'}"
13,"Blanchette, James  Otto","{'hanna', 'angiogenic behavior', 'transplantation genetic', 'system expand', 'cell transplantation', 'brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation', 'chemotherapeutics administered', 'differentially impact', 'pre angiogenic', 'engineering design', 'behavior endothelial', 'specific project', 'proper function', 'therapeutic tissue', 'extending proper', 'pancreatic islet', 'enhance vascularization', 'vascularization skiles', 'sc fall', 'cell cell', 'delivery therapeutic', 'cook blanchette', 'impact induction', 'developing responsive', 'cell following', 'culture oxygenation', 'genetic engineering', 'transplantation mesenchymal', 'blanchette asc', 'cell enhance', 'geometry culture', 'spheroid geometry', 'design cell', 'following transplantation', 'signaling three', 'induction pre', 'three dimensional', 'engineering specific', 'responsive delivery', 'brougham cook', 'material tracking', 'spectrum chemotherapeutics', 'instructive material', 'hydrogel material', 'area design', 'rucker', 'orally extending', 'function pancreatic', 'cell instructive', 'project developing', 'room main', 'hypoxic signaling', 'mesenchymal stem', 'skiles l', 'fall area', 'sc fall area design cell instructive material', 'endothelial cell', 'expand spectrum', 'oxygenation differentially', 'aggregate transplantation', 'stem cell', 'main streetcolumbia', 'cell aggregate', 'administered orally', 'asc spheroid', 'instructive hydrogel', 'delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l', 'tracking hypoxic', 'room main streetcolumbia', 'islet cell', 'delivery system', 'design instructive', 'tissue engineering', 'dimensional cell', 'tipton'}"
14,"Boltin, Nicholas D.","{'study jmir', 'department triage', 'press boltin', 'utilizing analytical', 'field employ', 'glean information', 'information data', 'developing decision', 'design evaluate', 'industry data', 'well predictive modeling two', 'analytical technique', 'reduction artificial', 'technique including', 'incident edit', 'triage chemical', 'mass casualty', 'dr boltin', 'valafar mobile', 'artificial neural', 'emergency department', 'network improve', 'many discipline', 'categorized two', 'latest software', 'dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics', 'jmir mhealth', 'interdisciplinary field', 'supervised unsupervised', 'data utilizing', 'tool emergency', 'created deploy', 'unsupervised machine', 'two broad', 'software development', 'focus categorized', 'computer science', 'predictive modeling', 'casualty incident', 'data science', 'employ technique', 'tool created', 'healthcare industry', 'information science computer science focus categorized two broad area one', 'culley jm', 'support system', 'design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin', 'culley', 'mhealth uhealth', 'machine learning', 'statistic', 'support tool', 'interaction boltin', 'well predictive', 'algorithm using', 'glean information data utilizing analytical technique including data mining', 'focus developing', 'article press', 'neural network', 'incident article', 'mobile decision', 'dimension reduction', 'including data', 'human computer', 'boltin focus', 'discipline mathematics', 'supervised unsupervised machine learning', 'sophisticated algorithm', 'valafar application', 'science interdisciplinary', 'informatic tool', 'application dimensional', 'chemical mass', 'broad area', 'evaluate translational', 'science computer', 'computer interaction', 'technique many', 'data mining', 'decision support', 'deploy sophisticated', 'using latest', 'department mass', 'initial study', 'system healthcare', 'dimensional reduction', 'edit initial', 'improve emergency', 'valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth', 'statistical analysis', 'information science', 'translational informatic', 'science focus', 'valdes', 'valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin', 'development human', 'modeling two', 'area one'}"
15,"Booth, Kristen","{'power grid resiliency', 'power electronics reliability', 'medium frequency transformer optimization', 'medium frequency', 'transformer optimization', 'grid resiliency', 'electronics reliability', 'frequency transformer', 'power grid', 'power electronics'}"
16,"Brookshire, Robert G., Ph.D.","{'department college', 'sc director', 'european journal operational', 'science computer', 'journal past', 'columbia', 'suite', 'article appeared', 'programming administration', 'professor integrated', 'editor information', 'college engineering', 'association editor', 'health information', 'engineering computing', 'sc robert', 'information technology', 'director master', 'texas state', 'robert brookshire', 'author using', 'study quarterly', 'past president', 'president organizational', 'mainframe systemsitec', 'innovation assembly street', 'innovation assembly', 'sc robert brookshire professor integrated information technology department college engineering computing', 'integrated information', 'technology department', 'managementitec mainframe', 'north texas', 'assembly street', 'itec record', 'computer information', 'information system', 'system association', 'byte', 'microcomputer sage', 'appeared journal', 'journal operational', 'sc director master health information technology program ha taught new york', 'legislative study quarterly', 'brookshire professor', 'sage publication', 'performance journal', 'technology program', 'taught new', 'article appeared journal computer information system', 'virginia', 'systemsitec linux', 'european journal', 'learning', 'record managementitec', 'program ha', 'ha taught', 'north texas state', 'journal computer', 'performance journal itec record managementitec mainframe systemsitec linux programming administration', 'new york', 'co author', 'james madison co author using microcomputer sage publication', 'james madison', 'journal past president organizational system association editor information technology', 'social science computer review', 'computer review', 'linux programming', 'legislative study', 'using microcomputer', 'organizational system', 'madison co', 'social science', 'journal itec', 'master health'}"
17,"Broughton, Earnie","{'including mentoring student programming professional development best practice responsibility gathering stakeholder navy', 'earnie lead software developer virtual test bed vtb smart ship system design project addition writing code', 'addition writing', 'consortium education', 'mentoring student', 'vtb smart', 'development best', 'writing code', 'development team', 'project addition', 'lead software', 'practice responsibility', 'bed vtb', 'supervises daily activity development team project', 'integrating requirement', 'requirement consortium', 'including mentoring', 'programming professional', 'esrdc consortium', 'smart ship', 'requirement developing', 'plan integrating', 'responsibility gathering', 'test bed', 'best practice', 'stakeholder navy', 'earnie lead', 'software developer', 'team project', 'virtual test', 'private industry requirement developing plan integrating requirement consortium education', 'activity development', 'student programming', 'gathering stakeholder', 'system design', 'developer virtual', 'supervises daily', 'industry requirement', 'daily activity', 'ship system', 'developing plan', 'private industry', 'professional development', 'design project'}"
18,"Buell, Duncan A.","{'first year', 'ida cc', 'ha part', 'number theory', 'image processing', 'year english', 'architecture oriented', 'accuracy ida', 'traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic', 'problem custom', 'directed splash', 'characteristic improvement', 'substantial parallelism', 'xilinx fpgas', 'renewal columbia', 'discrete mathematics', 'support vote', 'urban renewal', 'broad class', 'whose application', 'problem number', 'discovering problem', 'voting system', 'buell past', 'essay linguistic', 'auditing election', 'application programmed', 'vote total', 'co supervising', 'included algorithm', 'custom computing', 'evicting resident', 'vote absence', 'critical interactive', 'linguistic characteristic', 'analysis first', 'one often', 'discrete mathematics text string processing', 'lead uncounted', 'iphone urban', 'necessary another broad class problem custom computing machine devised bit oriented computation done string processing', 'writing pedagogy', 'computing machine', 'bit bit', 'oriented computation', 'total certified', 'often sufficient', 'buell recent', 'interactive iphone', 'necessary another', 'one neighborhood', 'performing computation', 'reduced efficiency', 'bit oriented', 'algorithm architecture', 'supervising work', 'problem process', 'fast integer', 'building custom', 'english essay', 'architecture performing', 'traditional computer', 'normally perform', 'data discovering', 'project building', 'efficiency one', 'data support', 'machine used', 'bit arithmetic', 'absence data', 'pedagogy professor', 'team auditing', 'columbia sc', 'problem computational', 'work ha', 'floating point', 'perform significantly', 'often multiprecision arithmetic', 'oriented toward', 'election data', 'another broad', 'used xilinx', 'done string', 'state digital', 'past included', 'integer arithmetic', 'digital humanity', 'computational problem', 'certified state', 'engaged analysis', 'string processing', 'need substantial', 'one often need substantial parallelism', 'text string', 'professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity', 'machine devised', 'programmed vhdl', 'humanity ha', 'multiprecision arithmetic', 'point computation', 'electronic voting', 'part team', 'improvement writing', 'resident ward', 'ward one', 'mathematics text', 'critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent', 'role evicting', 'cc directed', 'uncounted vote', 'compute element', 'often multiprecision', 'element whose', 'sufficient accuracy', 'significantly reduced', 'recent work', 'theory fast', 'professor buell', 'sc role', 'splash project', 'engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation', 'bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl', 'computation normally', 'processing computation', 'work ward', 'co supervising work ward one app', 'toward floating', 'fpgas compute', 'image processing computation', 'neighborhood adjacent', 'often need', 'computer architecture', 'ha electronic', 'class problem', 'process lead', 'system digital', 'one app', 'one class', 'arithmetic often', 'computation done', 'devised bit'}"
19,"Caicedo, Juan","{'lab website', 'member american', 'mechanic american', 'engineering educator', 'earthquake engineering structural control dr caicedo member american society civil engineer', 'structural dynamic', 'caicedo area', 'brown jr', 'educator complete', 'numerical experimental', 'structural health', 'society civil', 'american society', 'jr network', 'network earthquake', 'health monitoring', 'specialization structural', 'engineering institute', 'earthquake engineering', 'emphasis structural', 'publication visit', 'infrastructure lab', 'caicedo member', 'experimental area', 'george brown', 'society experimental', 'experimental mechanic', 'list project', 'dr caicedo', 'engineering emphasis', 'area structural', 'engineering structural', 'engineering simulation', 'george brown jr network earthquake engineering simulation', 'model updating', 'society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website', 'dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic', 'structural engineering', 'dynamic numerical', 'structural control', 'society engineering', 'control dr', 'visit structural', 'structural health monitoring', 'civil engineer', 'project publication', 'intelligent infrastructure', 'area specialization', 'complete list', 'dynamic intelligent', 'earthquake engineering institute'}"
20,"Carrilho, Leo ","{'using fea', 'nuclear fuel', 'phenomenon structural', 'carrilho modeling', 'modeling simulation', 'thermal hydraulic', 'hydraulic design', 'core component', 'simulation process', 'process phenomenon', 'design pwr', 'fuel core', 'fea cfd', 'structural thermal', 'using fea cfd method', 'dr leo', 'leo carrilho', 'pwr nuclear', 'dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component', 'cfd method'}"
21,"Carver, Wayne","{'abuse result', 'fibrosis commonly', 'performance correlated', 'stiffer myocardium', 'medicine bldg', 'commonly associated', 'matrix change', 'cell type', 'result stiffer', 'accumulation extracellular', 'including fibroblast', 'elaborate extracellular', 'alters heart', 'animal model', 'myocardial infarction', 'matrix heart', 'result myocardial', 'density organization', 'sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast', 'cardiac fibroblast', 'matrix seen', 'fibroblast behavior', 'cardiovascular performance', 'chronic exposure', 'fibrosis result', 'expression regulated', 'cell culture', 'road columbia', 'matrix fibrosis', 'carver lab', 'used examine', 'heart function', 'gene expression', 'exposure alcohol', 'heart particularly', 'correlated heart', 'others cell', 'regulated heart', 'seen alcohol', 'heart disease', 'behavior gene', 'model used', 'focused understanding', 'heart produced', 'room garner', 'cell interconnected', 'function extracellular', 'ferry road', 'known affect', 'infarction increased', 'contractile muscle', 'produced largely', 'non muscle', 'affect cardiovascular', 'culture animal', 'heart composed', 'excessive accumulation', 'fibroblast cardiovascular', 'particularly interested', 'school medicine', 'associated hypertension', 'extracellular matrix', 'excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium', 'alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease', 'organization extracellular', 'cell non', 'wall heart', 'regulation fibroblast', 'endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance', 'myocardial fibrosis', 'seen fibrosis', 'largely cardiac', 'endothelial cell', 'school medicine bldg room garner ferry road columbia', 'increased accumulation', 'alcohol abuse', 'sc ventricular', 'muscle cell', 'garner ferry', 'cell others', 'alcohol seen', 'understanding fibroblast', 'cardiovascular disease', 'matrix known', 'ventricular wall', 'dr carver', 'supported elaborate', 'change density', 'hypertension myocardial', 'interconnected supported', 'composed contractile', 'fibrosis cell', 'bldg room', 'lab focused', 'fibroblast dr', 'interested chronic', 'examine regulation', 'type including', 'disease instance'}"
22,"Chandrashekhar, MVS","{'plasmonics', 'graphene', 'chemistry', 'epitaxy', 'sic'}"
23,"Chao, Yuh J. ","{'buckling quasi', 'impact mechanic', 'zhu shiyang', 'vessel technology', 'vol', 'june wang', 'dukaifan', 'system cao', 'fracture fatigue material structure', 'yinbiao niffenegger', 'experimental study', 'uniaxial biaxial', 'biaxial loading', 'hao peng', 'welding modeling residual stress distortion', 'shell axial', 'wang bo', 'quasi perfect', 'markus chao', 'fracture fatigue', 'asme journal pressure vessel technology', 'international journal', 'journal pressure', 'cylindrical shell', 'assessment specimen', 'june wang bo', 'solid structure', 'residual stress', 'cell system', 'modeling residual', 'xiangtao', 'biomechanics nanomechanics', 'loading condition', 'compression combined', 'pem fuel', 'bi xiangju', 'constraint assessment specimen tested uniaxial biaxial loading condition', 'yuh', 'material structure', 'failure criterion', 'buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation', 'chao yuh', 'fatigue material', 'asme journal', 'mechanic material', 'stress distortion', 'chao theoretical', 'pressure vessel', 'axial compression', 'chen bingquan', 'perfect cylindrical', 'dr chao', 'welding modeling', 'specimen tested', 'international journal solid structure', 'study failure', 'durability pem fuel cell system cao', 'material characterization', 'theoretical experimental', 'experimental numerical', 'impact mechanic material characterization failure criterion', 'dr chao theoretical experimental study failure', 'combined experimental', 'constraint assessment', 'numerical investigation', 'guian', 'durability pem', 'journal solid', 'fuel cell', 'tested uniaxial', 'yupeng qian', 'characterization failure'}"
24,"Chaudhry, Hanif","{'hydraulic transient', 'water resource engineering', 'hydraulic engineering', 'resource engineering', 'water resource'}"
25,"Chen, Fanglin (Frank)","{'ionic electronic conducting ceramic', 'solid oxide', 'structure property relationship', 'oxide fuel', 'separation membrane', 'gas separation membrane', 'ionic electronic', 'dr chen', 'property relationship', 'solid oxide electrolysis cell', 'chen synthesis', 'conversion storage', 'material energy', 'structure property', 'oxide electrolysis', 'characterization material', 'composition', 'electronic conducting', 'electrolysis cell', 'gas separation', 'energy conversion', 'catalysis electrocatalysis', 'dr chen synthesis characterization material energy conversion storage', 'synthesis characterization', 'conducting ceramic', 'fuel cell', 'solid oxide fuel cell'}"
26,"Chen, Yinchao","{'sc', 'main streetcolumbia', 'swearingenroom main', 'swearingenroom main streetcolumbia'}"
27,"Chen, Yuche","{'aiaugmented simulation', 'emerging technology', 'data sensing', 'sensing analytics', 'data sensing analytics'}"
28,"Cheng, Xu","{'kit germany', 'cheng ha', 'paper main', 'director division', 'innovative nuclear', 'teaching experience', 'student ha', 'experience currently', 'prof cheng', 'system kit', 'phd student', 'student kit', 'year teaching', 'professor karlsruhe', 'sjtu china', 'karlsruhe institute', 'director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety', 'division innovative', 'prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china', 'kit ha', 'tong sjtu', 'germany shanghai', 'published paper', 'nuclear system', 'shanghai jiao', 'sjtu give', 'ha year', 'institute technology', 'main field', 'ha published', 'field nuclear', 'jiao tong', 'supervised supervising', 'nuclear thermal', 'kit sjtu', 'currently professor', 'master student', 'nuclear safety', 'thermal hydraulics', 'hydraulics nuclear', 'undergraduate master', 'lecture undergraduate', 'ha supervised', 'year experience', 'technology kit', 'supervising phd', 'give lecture', 'experience year'}"
29,"Cole, Casey","{'bioinformatics', 'computational biology'}"
30,"Coman, Paul","{'thermodynamics', 'liion safety'}"
31,"Crichigno, Jorge","{'science dmz', 'programmable switch', 'iot security'}"
32,"Cui, Taixing","{'ehime school medicine', 'school medicine bldg room garner ferry road columbia', 'school medicine', 'ehime school', 'road columbia', 'fourth military', 'military medical', 'japan', 'ferry road', 'fourth military medical', 'medicine bldg', 'r china', 'room garner', 'sc', 'molecular medicine', 'bldg room', 'garner ferry'}"
33,"De Backer, Wout","{'fused deposition modeling', 'deposition modeling', 'additive manufacturing', 'fused deposition', 'printing'}"
34,"Deng, Xiaomin ","{'molecular dynamic simulation', 'process simulation', 'modeling simulation', 'dynamic simulation', 'manufacturing process', 'molecular dynamic', 'solid mechanic', 'finite element', 'manufacturing process simulation'}"
35,"Devereux, Emily","{'administrator year', 'ranking perceived', 'bias funding', 'strategic planning', 'economic development', 'administrative capacity', 'dependency theory', 'federal foundation', 'enables institution', 'review enables', 'signal competitiveness', 'capacity reputation', 'funding review', 'student growth', 'funding sponsor', 'resource dependency', 'reputation goal', 'process based', 'year administration', 'community economic', 'past year', 'institution signal', 'agency review', 'perceived bias', 'administration focused', 'review process', 'ha concentrated', 'senior administrator', 'national ranking', 'foundation agency', 'bias federal', 'agent resource', 'past year administration leadership experience ha concentrated strategic growth', 'leadership experience', 'sponsor based', 'based principal', 'principal agent', 'experience ha', 'administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory', 'administration leadership', 'identify contributes', 'administration community', 'strategic growth', 'development', 'senior administrator year administration community economic development', 'concentrated strategic', 'focused national', 'goal identify', 'based administrative', 'contributes perceived', 'competitiveness funding'}"
36,"Dillon, Anthony L","{'instructor undergraduate', 'public sector', 'business partnership', 'suite', 'iit mhit', 'clinical instructor', 'mhit program', 'private public', 'numerous business', 'information technology', 'innovation assembly', 'innovation assembly street', 'sc dillon', 'integrated information', 'within private', 'within iit', 'assembly street', 'technology brings', 'sector related', 'program within', 'sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship', 'related educational', 'brings numerous', 'worked within', 'department integrated', 'undergraduate graduate', 'ha worked', 'internship department', 'program ha', 'technology clinical', 'director internship', 'dillon director', 'educational technology', 'graduate program', 'partnership relationship'}"
