,all_skills
235,tribology
236,published journal
237,department defense
238,funding department
239,prior joining
240,life prediction
241,prognosis life
242,bayoumi ha
243,involved developing
244,project manager
245,mcnair aerospace
246,main streetroom
247,wa professor
248,industry experience
249,developing strong
250,journal conference
251,mechanical biomedical
252,ha actively
253,national science foundation various industry ha published journal conference paper
254,program mechanical
255,actively involved
256,industry ha
257,various industry
258,mechanical behavior
259,mechanical aerospace
260,dr bayoumi
261,mechanical system
262,year teaching
263,activity focused
264,conference paper
265,project manager hewlett packard company
266,based maintenance
267,dean corporate
268,director mcnair
269,monitoring system
270,engineering prior
271,diagnosis prognosis life prediction mechanical system
272,director center predictive maintenance
273,ha received
274,ha published
275,director center
276,aerospace center
277,condition based
278,nuclear aerospace engineering activity focused mechanical behavior material
279,washington state
280,professor mechanical
281,behavior material
282,manager hewlett
283,center predictive
284,manufacturing process
285,received funding
286,aerospace engineering
287,digital transformation
288,relation professor
289,associate dean
290,health monitoring system
291,engineering north
292,transformation dr
293,biomedical engineering
294,hewlett packard
295,diagnosis prognosis
296,strong program
297,sc
298,development subsequent
299,landfill thermochemical
300,disposed nanomaterials
301,biological process
302,personal care
303,room berge
304,solid waste
305,lead carbon
306,groundwater remediation
307,energy yield
308,remediation technology
309,compound bioreactor
310,thermochemical conversion
311,endocrine disrupting
312,value added product production specific area exploration fate disposed nanomaterials
313,treatment technique
314,subsequent evaluation
315,bioreactor landfill
316,resource recovery
317,pharmaceutical
318,yield waste
319,product production
320,increasing energy
321,municipal solid
322,main street
323,improving understanding
324,room berge focus improving understanding physical
325,waste stream
326,treatment process
327,personal care product endocrine disrupting compound bioreactor landfill thermochemical conversion municipal solid waste increasing energy yield waste stream resource recovery waste stream leachate treatment process development subsequent evaluation innovative groundwater remediation technology
328,disrupting compound
329,energy generation
330,fate disposed
331,evaluation innovative
332,promote sustainable
333,berge focus
334,production specific
335,area exploration
336,manipulated promote
337,product endocrine
338,leachate treatment
339,technique lead
340,chemical
341,waste increasing
342,value added
343,added product
344,process manipulated
345,conversion municipal
346,process development
347,care product
348,sustainable waste
349,focus improving
350,carbon sequestration
351,innovative groundwater
352,specific area
353,recovery waste
354,waste treatment
355,exploration fate
356,stream leachate
357,biological process manipulated promote sustainable waste treatment technique lead carbon sequestration
358,understanding physical
359,stream resource
360,nuclear fuel waste material
361,waste material
362,fuel waste
363,nuclear fuel
364,tissue scaffolding
365,mechanic soft
366,dr bischoff biomedical engineering
367,passive mechanic
368,hypertrophic scar
369,passive mechanic soft tissue
370,structural constitutive
371,theoretical framework
372,evolution artificial
373,constitutive testing
374,framework modeling
375,constitutive testing modeling hypertrophic scar
376,artificial tissue
377,modeling growth
378,modeling hypertrophic
379,bischoff biomedical
380,analysis structural
381,growth tissue
382,analysis structural constitutive evolution artificial tissue scaffolding
383,dr bischoff
384,soft tissue
385,testing modeling
386,theoretical framework modeling growth tissue
387,constitutive evolution
388,hanna
389,angiogenic behavior
390,transplantation genetic
391,system expand
392,cell transplantation
393,brougham cook blanchette asc spheroid geometry culture oxygenation differentially impact induction pre angiogenic behavior endothelial cell cell transplantation
394,chemotherapeutics administered
395,differentially impact
396,pre angiogenic
397,engineering design
398,behavior endothelial
399,specific project
400,proper function
401,therapeutic tissue
402,extending proper
403,pancreatic islet
404,enhance vascularization
405,vascularization skiles
406,sc fall
407,cell cell
408,delivery therapeutic
409,cook blanchette
410,impact induction
411,developing responsive
412,cell following
413,culture oxygenation
414,genetic engineering
415,transplantation mesenchymal
416,blanchette asc
417,cell enhance
418,geometry culture
419,spheroid geometry
420,design cell
421,following transplantation
422,signaling three
423,induction pre
424,three dimensional
425,engineering specific
426,responsive delivery
427,brougham cook
428,material tracking
429,spectrum chemotherapeutics
430,instructive material
431,hydrogel material
432,area design
433,rucker
434,orally extending
435,function pancreatic
436,cell instructive
437,project developing
438,room main
439,hypoxic signaling
440,mesenchymal stem
441,skiles l
442,fall area
443,sc fall area design cell instructive material
444,endothelial cell
445,expand spectrum
446,oxygenation differentially
447,aggregate transplantation
448,stem cell
449,cell aggregate
450,administered orally
451,asc spheroid
452,instructive hydrogel
453,delivery therapeutic tissue engineering specific project developing responsive delivery system expand spectrum chemotherapeutics administered orally extending proper function pancreatic islet cell following transplantation genetic engineering design instructive hydrogel material tracking hypoxic signaling three dimensional cell aggregate transplantation mesenchymal stem cell enhance vascularization skiles l
454,tracking hypoxic
455,room main streetcolumbia
456,islet cell
457,delivery system
458,design instructive
459,tissue engineering
460,dimensional cell
461,tipton
462,study jmir
463,department triage
464,press boltin
465,utilizing analytical
466,field employ
467,glean information
468,information data
469,developing decision
470,design evaluate
471,industry data
472,well predictive modeling two
473,analytical technique
474,reduction artificial
475,technique including
476,incident edit
477,triage chemical
478,mass casualty
479,dr boltin
480,valafar mobile
481,artificial neural
482,emergency department
483,network improve
484,many discipline
485,categorized two
486,latest software
487,dr boltin focus developing decision support system healthcare industry data science interdisciplinary field employ technique many discipline mathematics
488,jmir mhealth
489,interdisciplinary field
490,supervised unsupervised
491,data utilizing
492,tool emergency
493,created deploy
494,unsupervised machine
495,two broad
496,software development
497,focus categorized
498,computer science
499,predictive modeling
500,casualty incident
501,data science
502,employ technique
503,tool created
504,healthcare industry
505,information science computer science focus categorized two broad area one
506,culley jm
507,support system
508,design evaluate translational informatic tool created deploy sophisticated algorithm using latest software development human computer interaction boltin
509,culley
510,mhealth uhealth
511,statistic
512,support tool
513,interaction boltin
514,well predictive
515,algorithm using
516,glean information data utilizing analytical technique including data mining
517,focus developing
518,article press
519,neural network
520,incident article
521,mobile decision
522,dimension reduction
523,including data
524,human computer
525,boltin focus
526,discipline mathematics
527,supervised unsupervised machine learning
528,sophisticated algorithm
529,valafar application
530,science interdisciplinary
531,informatic tool
532,application dimensional
533,chemical mass
534,broad area
535,evaluate translational
536,science computer
537,computer interaction
538,technique many
539,data mining
540,decision support
541,deploy sophisticated
542,using latest
543,department mass
544,initial study
545,system healthcare
546,dimensional reduction
547,edit initial
548,improve emergency
549,valafar mobile decision support tool emergency department mass casualty incident edit initial study jmir mhealth uhealth
550,statistical analysis
551,information science
552,translational informatic
553,science focus
554,valdes
555,valafar application dimensional reduction artificial neural network improve emergency department triage chemical mass casualty incident article press boltin
556,development human
557,modeling two
558,area one
559,power grid resiliency
560,power electronics reliability
561,medium frequency transformer optimization
562,medium frequency
563,transformer optimization
564,grid resiliency
565,electronics reliability
566,frequency transformer
567,power grid
568,power electronics
569,department college
570,sc director
571,european journal operational
572,journal past
573,columbia
574,suite
575,article appeared
576,programming administration
577,professor integrated
578,editor information
579,college engineering
580,association editor
581,health information
582,engineering computing
583,sc robert
584,information technology
585,director master
586,texas state
587,robert brookshire
588,author using
589,study quarterly
590,past president
591,president organizational
592,mainframe systemsitec
593,innovation assembly street
594,innovation assembly
595,sc robert brookshire professor integrated information technology department college engineering computing
596,integrated information
597,technology department
598,managementitec mainframe
599,north texas
600,assembly street
601,itec record
602,computer information
603,information system
604,system association
605,byte
606,microcomputer sage
607,appeared journal
608,journal operational
609,sc director master health information technology program ha taught new york
610,legislative study quarterly
611,brookshire professor
612,sage publication
613,performance journal
614,technology program
615,taught new
616,article appeared journal computer information system
617,virginia
618,systemsitec linux
619,european journal
620,learning
621,record managementitec
622,program ha
623,ha taught
624,north texas state
625,journal computer
626,performance journal itec record managementitec mainframe systemsitec linux programming administration
627,new york
628,co author
629,james madison co author using microcomputer sage publication
630,james madison
631,journal past president organizational system association editor information technology
632,social science computer review
633,computer review
634,linux programming
635,legislative study
636,using microcomputer
637,organizational system
638,madison co
639,social science
640,journal itec
641,master health
642,including mentoring student programming professional development best practice responsibility gathering stakeholder navy
643,earnie lead software developer virtual test bed vtb smart ship system design project addition writing code
644,addition writing
645,consortium education
646,mentoring student
647,vtb smart
648,development best
649,writing code
650,development team
651,project addition
652,lead software
653,practice responsibility
654,bed vtb
655,supervises daily activity development team project
656,integrating requirement
657,requirement consortium
658,including mentoring
659,programming professional
660,esrdc consortium
661,smart ship
662,requirement developing
663,plan integrating
664,responsibility gathering
665,test bed
666,best practice
667,stakeholder navy
668,earnie lead
669,software developer
670,team project
671,virtual test
672,private industry requirement developing plan integrating requirement consortium education
673,activity development
674,student programming
675,gathering stakeholder
676,system design
677,developer virtual
678,supervises daily
679,industry requirement
680,daily activity
681,ship system
682,developing plan
683,private industry
684,professional development
685,design project
686,first year
687,ida cc
688,ha part
689,number theory
690,image processing
691,year english
692,architecture oriented
693,accuracy ida
694,traditional computer architecture oriented toward floating point computation normally perform significantly reduced efficiency one class problem computational problem number theory fast integer arithmetic
695,problem custom
696,directed splash
697,characteristic improvement
698,substantial parallelism
699,xilinx fpgas
700,renewal columbia
701,discrete mathematics
702,support vote
703,urban renewal
704,broad class
705,whose application
706,problem number
707,discovering problem
708,voting system
709,buell past
710,essay linguistic
711,auditing election
712,application programmed
713,vote total
714,co supervising
715,included algorithm
716,custom computing
717,evicting resident
718,vote absence
719,critical interactive
720,linguistic characteristic
721,analysis first
722,one often
723,discrete mathematics text string processing
724,lead uncounted
725,iphone urban
726,necessary another broad class problem custom computing machine devised bit oriented computation done string processing
727,writing pedagogy
728,computing machine
729,bit bit
730,oriented computation
731,total certified
732,often sufficient
733,buell recent
734,interactive iphone
735,necessary another
736,one neighborhood
737,performing computation
738,reduced efficiency
739,bit oriented
740,algorithm architecture
741,supervising work
742,problem process
743,fast integer
744,building custom
745,english essay
746,architecture performing
747,traditional computer
748,normally perform
749,data discovering
750,project building
751,efficiency one
752,data support
753,machine used
754,bit arithmetic
755,absence data
756,pedagogy professor
757,team auditing
758,columbia sc
759,problem computational
760,work ha
761,floating point
762,perform significantly
763,often multiprecision arithmetic
764,oriented toward
765,election data
766,another broad
767,used xilinx
768,done string
769,state digital
770,past included
771,integer arithmetic
772,digital humanity
773,computational problem
774,certified state
775,engaged analysis
776,string processing
777,need substantial
778,one often need substantial parallelism
779,text string
780,professor buell recent work ha electronic voting system digital humanity ha part team auditing election data discovering problem process lead uncounted vote absence data support vote total certified state digital humanity
781,machine devised
782,programmed vhdl
783,humanity ha
784,multiprecision arithmetic
785,point computation
786,electronic voting
787,part team
788,improvement writing
789,resident ward
790,ward one
791,mathematics text
792,critical interactive iphone urban renewal columbia sc role evicting resident ward one neighborhood adjacent
793,role evicting
794,cc directed
795,uncounted vote
796,compute element
797,often multiprecision
798,element whose
799,sufficient accuracy
800,significantly reduced
801,recent work
802,theory fast
803,professor buell
804,sc role
805,splash project
806,engaged analysis first year english essay linguistic characteristic improvement writing pedagogy professor buell past included algorithm architecture performing computation
807,bit bit arithmetic often sufficient accuracy ida cc directed splash project building custom computing machine used xilinx fpgas compute element whose application programmed vhdl
808,computation normally
809,processing computation
810,work ward
811,co supervising work ward one app
812,toward floating
813,fpgas compute
814,image processing computation
815,neighborhood adjacent
816,often need
817,ha electronic
818,class problem
819,process lead
820,system digital
821,one app
822,one class
823,arithmetic often
824,computation done
825,devised bit
826,lab website
827,member american
828,mechanic american
829,engineering educator
830,earthquake engineering structural control dr caicedo member american society civil engineer
831,structural dynamic
832,caicedo area
833,brown jr
834,educator complete
835,numerical experimental
836,society civil
837,american society
838,jr network
839,network earthquake
840,specialization structural
841,engineering institute
842,earthquake engineering
843,emphasis structural
844,publication visit
845,infrastructure lab
846,caicedo member
847,experimental area
848,george brown
849,society experimental
850,experimental mechanic
851,list project
852,dr caicedo
853,engineering emphasis
854,area structural
855,engineering structural
856,engineering simulation
857,george brown jr network earthquake engineering simulation
858,model updating
859,society experimental mechanic american society engineering educator complete list project publication visit structural dynamic intelligent infrastructure lab website
860,dr caicedo area specialization structural engineering emphasis structural dynamic numerical experimental area structural dynamic
861,structural engineering
862,dynamic numerical
863,structural control
864,society engineering
865,control dr
866,visit structural
867,civil engineer
868,project publication
869,intelligent infrastructure
870,area specialization
871,complete list
872,dynamic intelligent
873,earthquake engineering institute
874,using fea
875,phenomenon structural
876,carrilho modeling
877,modeling simulation
878,thermal hydraulic
879,hydraulic design
880,core component
881,simulation process
882,process phenomenon
883,design pwr
884,fuel core
885,fea cfd
886,structural thermal
887,using fea cfd method
888,dr leo
889,leo carrilho
890,pwr nuclear
891,dr leo carrilho modeling simulation process phenomenon structural thermal hydraulic design pwr nuclear fuel core component
892,cfd method
893,abuse result
894,fibrosis commonly
895,performance correlated
896,stiffer myocardium
897,medicine bldg
898,commonly associated
899,matrix change
900,cell type
901,result stiffer
902,accumulation extracellular
903,including fibroblast
904,elaborate extracellular
905,alters heart
906,animal model
907,myocardial infarction
908,matrix heart
909,result myocardial
910,density organization
911,sc ventricular wall heart composed contractile muscle cell non muscle cell type including fibroblast
912,cardiac fibroblast
913,matrix seen
914,fibroblast behavior
915,cardiovascular performance
916,chronic exposure
917,fibrosis result
918,expression regulated
919,cell culture
920,road columbia
921,matrix fibrosis
922,carver lab
923,used examine
924,heart function
925,gene expression
926,exposure alcohol
927,heart particularly
928,correlated heart
929,others cell
930,regulated heart
931,seen alcohol
932,heart disease
933,behavior gene
934,model used
935,focused understanding
936,heart produced
937,room garner
938,cell interconnected
939,function extracellular
940,ferry road
941,known affect
942,infarction increased
943,contractile muscle
944,produced largely
945,non muscle
946,affect cardiovascular
947,culture animal
948,heart composed
949,excessive accumulation
950,fibroblast cardiovascular
951,particularly interested
952,school medicine
953,associated hypertension
954,extracellular matrix
955,excessive accumulation extracellular matrix fibrosis commonly associated hypertension myocardial infarction increased accumulation extracellular matrix seen fibrosis result stiffer myocardium
956,alters heart function extracellular matrix heart produced largely cardiac fibroblast dr carver lab focused understanding fibroblast behavior gene expression regulated heart particularly interested chronic exposure alcohol seen alcohol abuse result myocardial fibrosis cell culture animal model used examine regulation fibroblast cardiovascular disease
957,organization extracellular
958,cell non
959,wall heart
960,regulation fibroblast
961,endothelial cell others cell interconnected supported elaborate extracellular matrix change density organization extracellular matrix known affect cardiovascular performance correlated heart disease instance
962,myocardial fibrosis
963,seen fibrosis
964,largely cardiac
965,school medicine bldg room garner ferry road columbia
966,increased accumulation
967,alcohol abuse
968,sc ventricular
969,muscle cell
970,garner ferry
971,cell others
972,alcohol seen
973,understanding fibroblast
974,cardiovascular disease
975,matrix known
976,ventricular wall
977,dr carver
978,supported elaborate
979,change density
980,hypertension myocardial
981,interconnected supported
982,composed contractile
983,fibrosis cell
984,bldg room
985,lab focused
986,fibroblast dr
987,interested chronic
988,examine regulation
989,type including
990,disease instance
991,plasmonics
992,graphene
993,chemistry
994,epitaxy
995,sic
996,buckling quasi
997,impact mechanic
998,zhu shiyang
999,vessel technology
1000,vol
1001,june wang
1002,dukaifan
1003,system cao
1004,fracture fatigue material structure
1005,yinbiao niffenegger
1006,experimental study
1007,uniaxial biaxial
1008,biaxial loading
1009,hao peng
1010,welding modeling residual stress distortion
1011,shell axial
1012,wang bo
1013,quasi perfect
1014,markus chao
1015,fracture fatigue
1016,asme journal pressure vessel technology
1017,international journal
1018,journal pressure
1019,cylindrical shell
1020,assessment specimen
1021,june wang bo
1022,solid structure
1023,residual stress
1024,cell system
1025,modeling residual
1026,xiangtao
1027,biomechanics nanomechanics
1028,loading condition
1029,compression combined
1030,pem fuel
1031,bi xiangju
1032,constraint assessment specimen tested uniaxial biaxial loading condition
1033,yuh
1034,material structure
1035,failure criterion
1036,buckling quasi perfect cylindrical shell axial compression combined experimental numerical investigation
1037,chao yuh
1038,fatigue material
1039,asme journal
1040,mechanic material
1041,stress distortion
1042,chao theoretical
1043,pressure vessel
1044,axial compression
1045,chen bingquan
1046,perfect cylindrical
1047,dr chao
1048,welding modeling
1049,specimen tested
1050,international journal solid structure
1051,study failure
1052,durability pem fuel cell system cao
1053,material characterization
1054,theoretical experimental
1055,experimental numerical
1056,impact mechanic material characterization failure criterion
1057,dr chao theoretical experimental study failure
1058,combined experimental
1059,constraint assessment
1060,numerical investigation
1061,guian
1062,durability pem
1063,journal solid
1064,fuel cell
1065,tested uniaxial
1066,yupeng qian
1067,characterization failure
1068,hydraulic transient
1069,water resource engineering
1070,hydraulic engineering
1071,resource engineering
1072,water resource
1073,ionic electronic conducting ceramic
1074,solid oxide
1075,structure property relationship
1076,oxide fuel
1077,separation membrane
1078,gas separation membrane
1079,ionic electronic
1080,dr chen
1081,property relationship
1082,solid oxide electrolysis cell
1083,chen synthesis
1084,conversion storage
1085,material energy
1086,structure property
1087,oxide electrolysis
1088,characterization material
1089,composition
1090,electronic conducting
1091,electrolysis cell
1092,gas separation
1093,energy conversion
1094,catalysis electrocatalysis
1095,dr chen synthesis characterization material energy conversion storage
1096,synthesis characterization
1097,conducting ceramic
1098,solid oxide fuel cell
1099,aiaugmented simulation
1100,emerging technology
1101,data sensing
1102,sensing analytics
1103,data sensing analytics
1104,kit germany
1105,cheng ha
1106,paper main
1107,director division
1108,innovative nuclear
1109,teaching experience
1110,student ha
1111,prof cheng
1112,system kit
1113,phd student
1114,student kit
1115,professor karlsruhe
1116,sjtu china
1117,karlsruhe institute
1118,director division innovative nuclear system kit ha supervised supervising phd student kit sjtu give lecture undergraduate master student ha published paper main field nuclear thermal hydraulics nuclear safety
1119,division innovative
1120,prof cheng ha year experience year teaching experience currently professor karlsruhe institute technology kit germany shanghai jiao tong sjtu china
1121,kit ha
1122,tong sjtu
1123,germany shanghai
1124,published paper
1125,nuclear system
1126,shanghai jiao
1127,sjtu give
1128,institute technology
1129,main field
1130,field nuclear
1131,jiao tong
1132,supervised supervising
1133,nuclear thermal
1134,kit sjtu
1135,currently professor
1136,master student
1137,nuclear safety
1138,thermal hydraulics
1139,hydraulics nuclear
1140,undergraduate master
1141,lecture undergraduate
1142,ha supervised
1143,year experience
1144,technology kit
1145,supervising phd
1146,give lecture
1147,experience year
1148,computational biology
1149,thermodynamics
1150,liion safety
1151,science dmz
1152,programmable switch
1153,iot security
1154,ehime school medicine
1155,ehime school
1156,fourth military
1157,military medical
1158,japan
1159,fourth military medical
1160,r china
1161,molecular medicine
1162,fused deposition modeling
1163,deposition modeling
1164,additive manufacturing
1165,fused deposition
1166,printing
1167,molecular dynamic simulation
1168,process simulation
1169,dynamic simulation
1170,molecular dynamic
1171,solid mechanic
1172,finite element
1173,manufacturing process simulation
1174,administrator year
1175,ranking perceived
1176,bias funding
1177,strategic planning
1178,economic development
1179,administrative capacity
1180,dependency theory
1181,federal foundation
1182,enables institution
1183,review enables
1184,signal competitiveness
1185,capacity reputation
1186,funding review
1187,student growth
1188,funding sponsor
1189,resource dependency
1190,reputation goal
1191,process based
1192,year administration
1193,community economic
1194,past year
1195,institution signal
1196,agency review
1197,perceived bias
1198,administration focused
1199,review process
1200,ha concentrated
1201,senior administrator
1202,national ranking
1203,foundation agency
1204,bias federal
1205,agent resource
1206,past year administration leadership experience ha concentrated strategic growth
1207,leadership experience
1208,sponsor based
1209,based principal
1210,principal agent
1211,experience ha
1212,administration focused national ranking perceived bias funding review process based administrative capacity reputation goal identify contributes perceived bias federal foundation agency review enables institution signal competitiveness funding sponsor based principal agent resource dependency theory
1213,administration leadership
1214,identify contributes
1215,administration community
1216,strategic growth
1217,development
1218,senior administrator year administration community economic development
1219,concentrated strategic
1220,focused national
1221,goal identify
1222,based administrative
1223,contributes perceived
1224,competitiveness funding
1225,instructor undergraduate
1226,public sector
1227,business partnership
1228,iit mhit
1229,clinical instructor
1230,mhit program
1231,private public
1232,numerous business
1233,sc dillon
1234,within private
1235,within iit
1236,technology brings
1237,sector related
1238,program within
1239,sc dillon director internship department integrated information technology clinical instructor undergraduate graduate program within iit mhit program ha worked within private public sector related educational technology brings numerous business partnership relationship
1240,related educational
1241,brings numerous
1242,worked within
1243,department integrated
1244,undergraduate graduate
1245,ha worked
1246,internship department
1247,technology clinical
1248,director internship
1249,dillon director
1250,educational technology
1251,graduate program
1252,partnership relationship
1253,number undergraduate
1254,seek insert
1255,activity related
1256,oversees usc
1257,director electric
1258,level advanced
1259,electrochemical power source
1260,coordination activity member school prof dougal also site director new nsf sponsored industry cooperative center grid connected advanced power electronic system grape joint project usc arkansas seek insert greater level advanced power electronics utility power grid better realize smart grid since
1261,principally focus
1262,control dr dougal currently supervises dozen graduate student
1263,member board
1264,greater level
1265,dougal member
1266,study electric
1267,sc dougal lead power energy system group
1268,several post doctoral scholar faculty
1269,system environment
1270,new power
1271,director new
1272,dougal currently
1273,simulation virtual
1274,associated technology
1275,overseen development
1276,doctoral scholar
1277,number engineering
1278,site director
1279,supervises dozen
1280,prof dougal ha overseen development virtual test bed software
1281,hybrid power source
1282,better realize
1283,smart grid
1284,comprehensive simulation virtual prototyping environment multidisciplinary dynamic system environment applied study electric system navy ship
1285,applied study
1286,swearingenroom main street columbia
1287,dougal also
1288,consortium esrdc
1289,environment multidisciplinary
1290,connected advanced
1291,related new
1292,usc arkansas
1293,capacity oversees
1294,system grape
1295,encompasses wide
1296,sc dougal
1297,office naval
1298,cooperative center
1299,post doctoral
1300,range associated
1301,dougal ha
1302,nsf sponsored
1303,ha overseen
1304,arkansas seek
1305,grape joint
1306,grid better
1307,sponsored industry
1308,principally focus power electronics also encompasses wide range associated technology across number engineering department dr dougal member board director electric ship development consortium esrdc
1309,electronics utility
1310,currently supervises
1311,processing
1312,street columbia
1313,distribution technology ship
1314,board director
1315,power source
1316,grid connected
1317,lead power
1318,distribution technology
1319,ship development
1320,capacity oversees usc activity related new power generation
1321,electric system
1322,engineering department
1323,across number
1324,prof dougal
1325,dr dougal
1326,several post
1327,electronics also
1328,comprehensive simulation
1329,virtual prototyping
1330,graduate student
1331,new nsf
1332,electrochemical power
1333,dozen graduate
1334,energy system
1335,activity member
1336,scholar faculty
1337,development virtual
1338,number undergraduate researcher
1339,department dr
1340,school prof
1341,sponsorship office naval
1342,technology ship
1343,development consortium
1344,usc activity
1345,also encompasses
1346,member school
1347,insert greater
1348,undergraduate researcher
1349,coordination activity
1350,environment applied
1351,advanced power
1352,power generation
1353,electric ship
1354,wide range
1355,dougal lead
1356,multidisciplinary dynamic
1357,project usc
1358,industry cooperative
1359,prototyping environment
1360,bed software
1361,system navy
1362,also site
1363,system group
1364,joint project
1365,navy ship
1366,hybrid power
1367,utility power
1368,power energy
1369,sponsorship office
1370,electronic system
1371,center grid
1372,realize smart
1373,grid since
1374,focus power
1375,dynamic system
1376,technology across
1377,realtime system
1378,gas phase
1379,including chlorine
1380,dryer current
1381,interaction including
1382,kinetic property
1383,particulate emission
1384,ability address
1385,fire safety
1386,safety related
1387,gas turbine
1388,hazardous waste
1389,heat transfer
1390,issue earth
1391,related issue
1392,chemical kinetics
1393,related ground
1394,micro gravity
1395,solid phase
1396,environment solid
1397,sc dryer
1398,safety dr
1399,phenomenon nano
1400,fossil renewable
1401,ability address energy security reduction net carbon cycle emission well pollutant concern fire safety related issue earth micro gravity environment solid phase gas phase interaction related particle burning phenomenon nano catalyst material emission internal combustion engine
1402,pollutant mitigation
1403,fuel oil
1404,combustion related
1405,diesel
1406,related particle
1407,physical chemistry
1408,heavy fuel oil combustion property non petroleum derived alternative fuel
1409,dryer ha
1410,alternative fuel
1411,fundamental experience
1412,kinetics relevant
1413,relevant space
1414,phase gas
1415,sc dryer ha year application driven fundamental experience thermal science heat transfer
1416,stationary power
1417,material related
1418,experience thermal
1419,phase interaction
1420,well pollutant
1421,derived fuel
1422,generation abatement
