nsf_proposal_links_v0,researcher,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Deepak Sharma,"['Deepak Sharma', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,P Gopinath,"['P Gopinath', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harsh Chauhan,"['Harsh Chauhan', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Srinivas Kiran Ambatipudi,"['Srinivas Kiran Ambatipudi', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Krishna Mohan Poluri,"['Krishna Mohan Poluri', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Maya S.Nair,"['Maya S.Nair', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,"['N K Navani', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,"['Partha Roy', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,"['Poonam Choudhary', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,"['Prabhat Kumar Mandal', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,"['Pranita P Sarangi', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,"['Pravindra Kumar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,"['Prince Tiwari', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,"['R. P. Singh', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,"['Ramasare Prasad', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,"['Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,"['Sanjoy Ghosh', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,"['Saugata Hazra', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,"['Shailly Tomar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,"['Shri Ram Yadav', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,"['Soma Rohatgi', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,"['Sachin Suresh Tiwari', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,"['Jitin Singla', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,"['Rajesh Kumar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Pranita P Sarangi', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,"['Akhil Upadhyay', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Arindam Biswas,"['Arindam Biswas', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Avlokita Agrawal,"['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Gaurav Raheja,"['Gaurav Raheja', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Mahua Mukherjee,"['Mahua Mukherjee', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,E Rajasekar,"['E Rajasekar', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani', 'Millie Pant']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saptarshi Kolay,"['Saptarshi Kolay', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shubhajit Sadhukhan,"['Shubhajit Sadhukhan', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Smriti Saraswat,"['Smriti Saraswat', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sonal Atreya,"['Sonal Atreya', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Tina Pujara,"['Tina Pujara', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,V Devadas,"['V Devadas', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jaydev Dabas,"['Jaydev Dabas', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Millie Pant,"['Millie Pant', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajan Arora,"['Rajan Arora', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ashwani Kumar Sharma,"['Ashwani Kumar Sharma', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Bijan Choudhury,"['Bijan Choudhury', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Debabrata Sircar,"['Debabrata Sircar', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Deepak Sharma,"['Deepak Sharma', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,P Gopinath,"['P Gopinath', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harsh Chauhan,"['Harsh Chauhan', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Srinivas Kiran Ambatipudi,"['Srinivas Kiran Ambatipudi', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Krishna Mohan Poluri,"['Krishna Mohan Poluri', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Maya S.Nair,"['Maya S.Nair', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,N K Navani,"['N K Navani', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'Millie Pant']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Partha Roy,"['Partha Roy', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'N K Navani', 'Millie Pant']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Poonam Choudhary,"['Poonam Choudhary', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhat Kumar Mandal,"['Prabhat Kumar Mandal', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pranita P Sarangi,"['Pranita P Sarangi', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pravindra Kumar,"['Pravindra Kumar', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prince Tiwari,"['Prince Tiwari', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,R. P. Singh,"['R. P. Singh', 'Ram Sateesh Pasupuleti', 'Partha Roy', 'N K Navani', 'Millie Pant']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ramasare Prasad,"['Ramasare Prasad', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ranjana Pathania,"['Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sanjoy Ghosh,"['Sanjoy Ghosh', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saugata Hazra,"['Saugata Hazra', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shailly Tomar,"['Shailly Tomar', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shri Ram Yadav,"['Shri Ram Yadav', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Soma Rohatgi,"['Soma Rohatgi', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sachin Suresh Tiwari,"['Sachin Suresh Tiwari', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jitin Singla,"['Jitin Singla', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajesh Kumar,"['Rajesh Kumar', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Akhil Upadhyay,"['Akhil Upadhyay', 'Ram Sateesh Pasupuleti', 'R. P. Singh', 'Partha Roy', 'N K Navani']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,"['Arindam Biswas', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,"['Avlokita Agrawal', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,"['Gaurav Raheja', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,"['Mahua Mukherjee', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,"['E Rajasekar', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Saptarshi Kolay,"['Saptarshi Kolay', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shubhajit Sadhukhan,"['Shubhajit Sadhukhan', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Smriti Saraswat,"['Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy', 'Bijan Choudhury']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sonal Atreya,"['Sonal Atreya', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Tina Pujara,"['Tina Pujara', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Uttam Kumar Roy,"['Uttam Kumar Roy', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,V Devadas,"['V Devadas', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Jaydev Dabas,"['Jaydev Dabas', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Millie Pant,"['Millie Pant', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Rajan Arora,"['Rajan Arora', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ashwani Kumar Sharma,"['Ashwani Kumar Sharma', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Bijan Choudhury,"['Bijan Choudhury', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Debabrata Sircar,"['Debabrata Sircar', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Deepak Sharma,"['Deepak Sharma', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,P Gopinath,"['P Gopinath', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harsh Chauhan,"['Harsh Chauhan', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Srinivas Kiran Ambatipudi,"['Srinivas Kiran Ambatipudi', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Krishna Mohan Poluri,"['Krishna Mohan Poluri', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Maya S.Nair,"['Maya S.Nair', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,N K Navani,"['N K Navani', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Partha Roy,"['Partha Roy', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Bijan Choudhury']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Poonam Choudhary,"['Poonam Choudhary', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhat Kumar Mandal,"['Prabhat Kumar Mandal', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Pranita P Sarangi,"['Pranita P Sarangi', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Pravindra Kumar,"['Pravindra Kumar', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prince Tiwari,"['Prince Tiwari', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,R. P. Singh,"['R. P. Singh', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ramasare Prasad,"['Ramasare Prasad', 'Smriti Saraswat', 'Sanjoy Ghosh', 'Rajesh Kumar', 'Partha Roy']"
