proposal_link,proposal_id,title,bandit_positive_count,bandit_negative_count,bandit_matched
v0_037_eu_india_water_cooperation_on_research_and_innovation_joint_call_for_proposals___2017__2018,v0_037_eu_india_water_cooperation_on_research_and_innovation_joint_call_for_proposals___2017__2018,EU-India Water Cooperation on Research and Innovation Joint Call for Proposals - 2017- 2018,2,44,True
v0_038_scheme_for_young_scientists_and_technologists,v0_038_scheme_for_young_scientists_and_technologists,Scheme for Young Scientists and Technologists,1,45,True
v0_039_invites_rd_project_proposals_on_spatial_data_infrastructures_sdi_for_urban_governance_applications,v0_039_invites_rd_project_proposals_on_spatial_data_infrastructures_sdi_for_urban_governance_applications,Invites R&D Project Proposals on Spatial Data Infrastructures (SDI) for Urban Governance Applications,4,42,True
v0_040_advertisement_for_the_swarnajayanti_fellowships_scheme_2017_18,v0_040_advertisement_for_the_swarnajayanti_fellowships_scheme_2017_18,Advertisement for the SwarnaJayanti Fellowships Scheme 2017-18,2,44,True
v0_041_announcement_for_inviting_applications_for_participation_in_3rd_brics_young_scientist_conclave_durban_south_africa25_29_june_2018,v0_041_announcement_for_inviting_applications_for_participation_in_3rd_brics_young_scientist_conclave_durban_south_africa25_29_june_2018,"Announcement for inviting applications for participation in 3rd BRICS Young Scientist Conclave, Durban, South Africa(25-29 June 2018)",4,42,True
v0_042_ministry_of_mines___invites_science_and_technology_project_proposals,v0_042_ministry_of_mines___invites_science_and_technology_project_proposals,Ministry of Mines - Invites Science and Technology Project Proposals,1,45,True
v0_043_call_for_oriented_researchtechnology_development_proposals_on_materials_for_energy_storage_mes___2018,v0_043_call_for_oriented_researchtechnology_development_proposals_on_materials_for_energy_storage_mes___2018,Call for Oriented Research&Technology Development Proposals on Materials for Energy Storage (MES) - 2018,5,41,True
v0_044_call_for_proposals_for_establishing_technology_enabling_centres_tec_in_university_system,v0_044_call_for_proposals_for_establishing_technology_enabling_centres_tec_in_university_system,Call for Proposals for Establishing Technology Enabling Centres (TEC) in University System,1,45,True
v0_045_call_for_proposals_under_state_science_and_technology_sstp__2018_19___call_date_18042018_to_31052018,v0_045_call_for_proposals_under_state_science_and_technology_sstp__2018_19___call_date_18042018_to_31052018,Call for Proposals under State Science and Technology (SSTP)- 2018-19 - (Call Date: 18.04.2018 to 31.05.2018),7,39,True
v0_046_call_for_proposals_for_biomedical_device_and_technology_development_bdtd_tdt_division,v0_046_call_for_proposals_for_biomedical_device_and_technology_development_bdtd_tdt_division,Call for Proposals for Biomedical Device and Technology Development (BDTD)-TDT Division,4,42,True
v0_047_indo_canada_joint_call_for_proposals_improving_occupant_survivability_in_buildings_during_fires_using_innovations_in_structural_engineering_materials_science_and_cyber_physical_interfaces,v0_047_indo_canada_joint_call_for_proposals_improving_occupant_survivability_in_buildings_during_fires_using_innovations_in_structural_engineering_materials_science_and_cyber_physical_interfaces,"Indo-Canada Joint Call for Proposals Improving Occupant Survivability in Buildings During Fires Using Innovations in Structural Engineering, Materials Science and Cyber-Physical Interfaces",13,33,True
v0_048_call_for_oriented_research__technology_development_proposals_on_hydrogen_and_fuel_cell_hfc___2018,v0_048_call_for_oriented_research__technology_development_proposals_on_hydrogen_and_fuel_cell_hfc___2018,Call for Oriented Research & Technology Development Proposals on Hydrogen and Fuel Cell (HFC) - 2018,7,39,True
v0_049_initiative_in_coordinated_programme_for_arid_semi_arid_and_cold_desert_regionsasacoder,v0_049_initiative_in_coordinated_programme_for_arid_semi_arid_and_cold_desert_regionsasacoder,"Initiative in Coordinated Programme for Arid, Semi Arid and Cold Desert Regions(ASACODER)",1,45,True
v0_050_india___thailand_joint_call_for_proposals,v0_050_india___thailand_joint_call_for_proposals,India - Thailand Joint Call for Proposals,1,45,True
v0_051_dst_science_technology_and_innovation_policy_fellowships,v0_051_dst_science_technology_and_innovation_policy_fellowships,"DST Science, Technology, and Innovation Policy Fellowships",3,43,True
v0_052_dst_daad_2018_call_for_personal_exchanges_between_india_and_germany,v0_052_dst_daad_2018_call_for_personal_exchanges_between_india_and_germany,DST-DAAD 2018 Call for Personal Exchanges between India and Germany,1,45,True
v0_053_joint_call_for_project_proposals_2018___indo_danish_research_and_innovation_cooperation_in_the_areas_of_renewable_energy,v0_053_joint_call_for_project_proposals_2018___indo_danish_research_and_innovation_cooperation_in_the_areas_of_renewable_energy,Joint Call for project proposals 2018 - Indo-Danish Research and Innovation Cooperation in the areas of Renewable Energy,1,45,True
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,"Funding Opportunity Announcement (FOA) in Converting Sunlight to Storable Fuels, Energyrich chemicals and Biochemicals (IC5)",5,41,True
v0_055_india_belarus_joint_call_for_proposals,v0_055_india_belarus_joint_call_for_proposals,India-Belarus Joint Call for Proposals,3,43,True
v0_056_call_for_enrollment_of_desalination_solution_providers,v0_056_call_for_enrollment_of_desalination_solution_providers,Call for Enrollment of Desalination Solution Providers,1,45,True
v0_057_india_japan_cooperative_science_programme_ijcsp,v0_057_india_japan_cooperative_science_programme_ijcsp,India-Japan Cooperative Science Programme (IJCSP),7,39,True
v0_058_dst_nwo_joint_call_on_urban_water_systems,v0_058_dst_nwo_joint_call_on_urban_water_systems,DST-NWO Joint Call on Urban Water Systems,7,39,True
v0_059_indo_russian_joint_research_call_for_proposals_2018,v0_059_indo_russian_joint_research_call_for_proposals_2018,Indo-Russian Joint Research Call for Proposals 2018,6,40,True
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,Funding Opportunity Announcement (FOA) in Carbon Capture Innovation Challenge (IC3),6,40,True
v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,Call for R&D project proposals from Indian Pharma Industry/National Laboratories/Academic Institutions,2,44,True
v0_062_dst_cnrs_france_joint_call_for_proposals,v0_062_dst_cnrs_france_joint_call_for_proposals,DST-CNRS France Joint Call for Proposals,2,44,True
v0_063_call_for_entries___awsar_programme,v0_063_call_for_entries___awsar_programme,Call For Entries - AWSAR Programme,1,45,True
v0_064_call_for_papers___9th_national_teachers_science_congress,v0_064_call_for_papers___9th_national_teachers_science_congress,Call For Papers - 9th National Teachers Science Congress,3,43,True
v0_065_indo_finnish_joint_call_for_mobility_of_researchers,v0_065_indo_finnish_joint_call_for_mobility_of_researchers,Indo-Finnish Joint Call for Mobility of Researchers,5,41,True
v0_066_call_open_for_women_scientist_scheme_b_wos_b_2018_19,v0_066_call_open_for_women_scientist_scheme_b_wos_b_2018_19,Call open for Women Scientist Scheme-B (WOS-B) 2018-19,3,43,True
v0_067_dst_dfg_joint_call_inviting_joint_research_proposals,v0_067_dst_dfg_joint_call_inviting_joint_research_proposals,DST-DFG Joint Call inviting joint research proposals,3,43,True
v0_068_call_for_proposal_cfp__2_under_india___israel_industrial_rd_and_technological_innovation_fund_i4f,v0_068_call_for_proposal_cfp__2_under_india___israel_industrial_rd_and_technological_innovation_fund_i4f,Call For Proposal (CFP -2) under India - Israel Industrial R&D and Technological Innovation Fund (I4F),1,45,True
v0_069_call___unescojapan_young_researchs_fellowship_programme_unescokeizo_obuchi_research_fellowships_programme_cycle_2018,v0_069_call___unescojapan_young_researchs_fellowship_programme_unescokeizo_obuchi_research_fellowships_programme_cycle_2018,Call - UNESCO/Japan Young Research's Fellowship Programme (UNESCO/KEIZO OBUCHI Research Fellowships Programme) cycle 2018,1,45,True
v0_070_call_for_nominations_serb_distinguished_fellowship_last_date_upto_30_november_2018,v0_070_call_for_nominations_serb_distinguished_fellowship_last_date_upto_30_november_2018,Call for Nominations: SERB Distinguished Fellowship-Last Date upto 30 November 2018,2,44,True
v0_071_dst_dfg_awards_for_participation_in_the_69th_meeting_of_nobel_laureates__students_lindau_germany,v0_071_dst_dfg_awards_for_participation_in_the_69th_meeting_of_nobel_laureates__students_lindau_germany,"DST-DFG Awards For Participation in the 69th Meeting of Nobel Laureates & Students, Lindau, Germany",1,45,True
v0_072_india_sweden_joint_call_2018,v0_072_india_sweden_joint_call_2018,India-Sweden Joint call 2018,8,38,True
v0_073_joint_call_for_proposals___india_bulgaria_bilateral_scientific_and_technological_cooperation,v0_073_joint_call_for_proposals___india_bulgaria_bilateral_scientific_and_technological_cooperation,Joint Call for Proposals - India-Bulgaria Bilateral Scientific and Technological Cooperation,1,45,True
v0_074_advertisement_for_science_and_technology_of_yoga_and_meditation_satyam,v0_074_advertisement_for_science_and_technology_of_yoga_and_meditation_satyam,Advertisement for Science and Technology of Yoga and Meditation (SATYAM),4,42,True
v0_075_call_for_proposals_for_optimal_water_use_in_industrial_sector_water_conservation_water_use_efficiency_waste_water_recovery_utilization_of_residues,v0_075_call_for_proposals_for_optimal_water_use_in_industrial_sector_water_conservation_water_use_efficiency_waste_water_recovery_utilization_of_residues,"Call for Proposals for Optimal Water Use in Industrial Sector (Water Conservation, Water Use efficiency, Waste Water Recovery, Utilization of Residues)",8,38,True
v0_076_call___indo_australia_fund_for_scientific_and_technological_cooperation_indo_aisrf_round_11,v0_076_call___indo_australia_fund_for_scientific_and_technological_cooperation_indo_aisrf_round_11,Call - Indo-Australia Fund for Scientific and Technological Cooperation (Indo-AISRF) Round 11,2,44,True
v0_077_india___ukieri_call_for_proposal,v0_077_india___ukieri_call_for_proposal,India - UKIERI Call for Proposal,5,41,True
v0_078_india_science_and_research_fellowship_programme,v0_078_india_science_and_research_fellowship_programme,India Science and Research Fellowship Programme,7,39,True
v0_079_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,v0_079_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,Indo-German Science & Technology Centre (IGSTC) Announces Call for Grant Applications for Indo-German R & D Partnership on research projects with industrial relevance.,2,44,True
v0_080_special_call_for_proposals_under_scheduled_castes_sc_and_scheduled_tribes_st_category_under_icps_programme,v0_080_special_call_for_proposals_under_scheduled_castes_sc_and_scheduled_tribes_st_category_under_icps_programme,Special Call for proposals under Scheduled Castes (SC) and Scheduled Tribes (ST) Category under ICPS programme,6,40,True
v0_081_call___indo_norway_joint_research_projects_in_st,v0_081_call___indo_norway_joint_research_projects_in_st,Call - Indo-Norway Joint Research Projects in S&T,3,43,True
v0_082_call_for_nomination_workshop_on_design_and_evaluation_of_innovation_policies_with_a_specific_focus_on_scientometrics,v0_082_call_for_nomination_workshop_on_design_and_evaluation_of_innovation_policies_with_a_specific_focus_on_scientometrics,Call for Nomination: Workshop on Design and Evaluation of Innovation Policies (with a specific focus on Scientometrics),6,40,True
v0_083_indo_russian_joint_call_for_proposals_dst_rfbr,v0_083_indo_russian_joint_call_for_proposals_dst_rfbr,Indo-Russian Joint Call for Proposals (DST-RFBR),5,41,True
v0_084_call_open_for_11th_batch_of_wos_ckiran_ipr,v0_084_call_open_for_11th_batch_of_wos_ckiran_ipr,Call open for 11th Batch of WOS-C(KIRAN-IPR),2,44,True
v0_085_national_grand_challenge_awards_for_designing_user_friendly_smart_solar_cooking_solutions,v0_085_national_grand_challenge_awards_for_designing_user_friendly_smart_solar_cooking_solutions,National Grand Challenge Awards for Designing User Friendly Smart Solar Cooking Solutions,5,41,True
v0_086_india__egypt_call_for_proposal,v0_086_india__egypt_call_for_proposal,India- Egypt Call for proposal,2,44,True
v0_087_swarnajayanti_fellowships_scheme_2018_19,v0_087_swarnajayanti_fellowships_scheme_2018_19,SwarnaJayanti Fellowships Scheme 2018-19,2,44,True
v0_088_dst_overseas_visiting_fellowship_admissions,v0_088_dst_overseas_visiting_fellowship_admissions,DST Overseas Visiting Fellowship Admissions,1,45,True
v0_089_sustainable__innovative_technologies_in_agricultureagro_tech_under_the_scheme_technology_development_programme,v0_089_sustainable__innovative_technologies_in_agricultureagro_tech_under_the_scheme_technology_development_programme,Sustainable & Innovative Technologies in Agriculture(AGRO-TECH) Under the Scheme Technology Development Programme,3,43,True
v0_090_scheme_for_young_scientists_and_technologists,v0_090_scheme_for_young_scientists_and_technologists,Scheme for Young Scientists and Technologists,1,45,True
v0_091_chord_nstmis_scheme_call_for_proposals_2018_19,v0_091_chord_nstmis_scheme_call_for_proposals_2018_19,CHORD (NSTMIS) Scheme: Call for Proposals (2018-19),3,43,True
v0_092_call_for_proposals_under_dst_ic_impact_indo_canada_joint_research_programmes,v0_092_call_for_proposals_under_dst_ic_impact_indo_canada_joint_research_programmes,"Call for proposals under DST-IC IMPACT, Indo-Canada joint research programmes",15,31,True
v0_093_2019_brics_calls_for_proposals_for_multilateral_rd_projects,v0_093_2019_brics_calls_for_proposals_for_multilateral_rd_projects,2019 BRICS Calls for Proposals for Multilateral R&D Projects,3,43,True
v0_094_global_cooling_prize,v0_094_global_cooling_prize,Global Cooling Prize,5,41,True
v0_095_wti_call_2019_research_technology_innovation_on_nexus_of_water_with_energy_food_and_health,v0_095_wti_call_2019_research_technology_innovation_on_nexus_of_water_with_energy_food_and_health,WTI Call 2019 Research Technology Innovation on nexus of Water with Energy Food and Health,7,39,True
v0_096_ukieri_dst_partnership_development_workshops,v0_096_ukieri_dst_partnership_development_workshops,UKIERI DST partnership Development Workshops,1,45,True
v0_097_call_for_joint_project_proposals_2019___india_czech_bilateral_scientific_and_technological_cooperation,v0_097_call_for_joint_project_proposals_2019___india_czech_bilateral_scientific_and_technological_cooperation,Call for Joint Project Proposals 2019 - India-Czech Bilateral Scientific and Technological Cooperation,1,45,True
v0_098_call_for_india_ethiopia_innovation__technology_commercialization_programme_ieitcp,v0_098_call_for_india_ethiopia_innovation__technology_commercialization_programme_ieitcp,Call for India-Ethiopia Innovation & Technology Commercialization Programme (IEITCP),4,42,True
v0_099_call_for_proposal_of_nidhi_prayas_program,v0_099_call_for_proposal_of_nidhi_prayas_program,Call for Proposal of NIDHI PRAYAS Program.,1,45,True
v0_100_indo__poland_joint_research_programme_call_for_proposals_2019,v0_100_indo__poland_joint_research_programme_call_for_proposals_2019,Indo- Poland Joint Research Programme Call For Proposals 2019,3,43,True
